sid,Не подкрепям никого,БСП ЗА БЪЛГАРИЯ,ГЕРБ-СДС,ВЪЗРАЖДАНЕ,ПП ИМА ТАКЪВ НАРОД,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)",Българско Национално Обединение,ЗАЕДНО,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,НДСВ,КОД /Консервативно Обединение на Десницата/,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,Движение за права и свободи – ДПС,ЛЕВИЦАТА!,ПП БЪЛГАРСКИ ВЪЗХОД,МИР,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,ПП Глас Народен,Социалистическа партия Български път,ВЪН от ЕС и НАТО,независими
234602084,9.0,27.0,89.0,44.0,13.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,202.0,3.0,8.0,12.0,4.0,0.0,2.0,2.0,0.0,0.0,
234623023,15.0,22.0,69.0,30.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,2.0,4.0,9.0,1.0,2.0,0.0,2.0,0.0,1.0,
234610025,5.0,9.0,59.0,30.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,136.0,2.0,10.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,
234610048,11.0,25.0,71.0,32.0,13.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,127.0,1.0,11.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,
234616005,41.0,17.0,85.0,77.0,55.0,2.0,0.0,1.0,6.0,0.0,1.0,2.0,420.0,7.0,12.0,17.0,5.0,0.0,1.0,1.0,0.0,0.0,
234615077,11.0,25.0,68.0,58.0,10.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,123.0,2.0,6.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,
234616006,49.0,10.0,82.0,40.0,41.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,309.0,5.0,11.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,
234616036,8.0,7.0,58.0,20.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,93.0,0.0,6.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,
234610027,10.0,12.0,50.0,28.0,4.0,0.0,1.0,0.0,4.0,0.0,3.0,7.0,152.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,
234623007,7.0,12.0,56.0,31.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
234602011,12.0,19.0,99.0,33.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,191.0,2.0,10.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,
234610089,6.0,16.0,44.0,29.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,80.0,1.0,9.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,
234617062,15.0,20.0,114.0,36.0,14.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,188.0,5.0,10.0,10.0,3.0,0.0,0.0,1.0,0.0,2.0,
234610094,29.0,21.0,80.0,38.0,19.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,201.0,3.0,2.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,
234602003,12.0,24.0,85.0,44.0,7.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,157.0,2.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
234615017,14.0,25.0,84.0,45.0,21.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,114.0,2.0,6.0,15.0,1.0,0.0,0.0,2.0,0.0,0.0,
234602019,0.0,21.0,129.0,60.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,149.0,2.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,
234623028,23.0,18.0,177.0,56.0,12.0,0.0,7.0,1.0,1.0,0.0,3.0,3.0,137.0,3.0,10.0,7.0,1.0,2.0,2.0,3.0,1.0,2.0,
234615016,13.0,25.0,63.0,40.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,109.0,1.0,9.0,14.0,0.0,2.0,0.0,2.0,0.0,2.0,
234616004,43.0,25.0,79.0,56.0,26.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,301.0,3.0,18.0,24.0,4.0,1.0,0.0,1.0,0.0,1.0,
234617012,21.0,18.0,138.0,51.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,129.0,3.0,3.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,
234602061,20.0,23.0,79.0,52.0,11.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,171.0,5.0,12.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,
234609026,11.0,18.0,71.0,27.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,193.0,2.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,
234609031,15.0,17.0,66.0,20.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,158.0,1.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,
234602037,14.0,41.0,90.0,31.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,137.0,2.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
234615094,13.0,25.0,82.0,37.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,90.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,
234616054,5.0,27.0,40.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,
234610023,18.0,18.0,78.0,33.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,155.0,1.0,9.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,
234608001,15.0,23.0,44.0,41.0,6.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,168.0,1.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,
234617069,25.0,17.0,116.0,38.0,7.0,1.0,0.0,0.0,7.0,0.0,3.0,1.0,258.0,5.0,9.0,15.0,3.0,0.0,2.0,3.0,0.0,1.0,
234615113,16.0,25.0,97.0,38.0,22.0,1.0,4.0,0.0,5.0,1.0,0.0,2.0,192.0,3.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,
234610083,27.0,30.0,62.0,47.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,146.0,3.0,7.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,
234615054,19.0,45.0,69.0,62.0,13.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,129.0,9.0,18.0,15.0,0.0,0.0,1.0,3.0,0.0,0.0,
234617052,21.0,22.0,100.0,50.0,14.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,206.0,4.0,14.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,
234617040,16.0,23.0,122.0,71.0,18.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,199.0,4.0,13.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,
234602006,8.0,8.0,59.0,35.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,133.0,1.0,13.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,
234615091,18.0,43.0,52.0,40.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,4.0,14.0,16.0,0.0,1.0,2.0,0.0,0.0,1.0,
234610081,14.0,19.0,60.0,34.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,100.0,2.0,8.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,
234609002,10.0,19.0,58.0,38.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,145.0,3.0,11.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,
234610005,6.0,7.0,38.0,19.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,89.0,1.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,
234615055,15.0,24.0,90.0,61.0,7.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,184.0,3.0,10.0,10.0,1.0,0.0,0.0,2.0,0.0,2.0,
234608043,8.0,30.0,46.0,39.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,83.0,3.0,14.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,
234608044,31.0,25.0,66.0,41.0,8.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,169.0,3.0,20.0,11.0,0.0,1.0,0.0,3.0,0.0,1.0,
234602010,23.0,26.0,85.0,35.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,146.0,1.0,14.0,12.0,1.0,2.0,1.0,4.0,0.0,1.0,
234610047,6.0,16.0,53.0,20.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,112.0,3.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,
234609014,16.0,19.0,75.0,43.0,8.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,175.0,4.0,10.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,
234615026,13.0,34.0,85.0,62.0,14.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,162.0,1.0,12.0,16.0,3.0,0.0,1.0,2.0,0.0,0.0,
234623025,21.0,19.0,96.0,27.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,83.0,6.0,9.0,5.0,2.0,0.0,0.0,1.0,2.0,3.0,
