,2021,nuts4
Столична,21.4,SOF46
Стражица,35.1,VTR31
Стралджа,43.6,JAM22
Стрелча,30.0,PAZ32
Струмяни,50.7,BLG49
Суворово,30.9,VAR26
Сунгурларе,45.0,BGS23
Сухиндол,39.0,VTR32
Съединение,34.2,PDV33
Сърница,27.4,PAZ39
Твърдица,51.4,SLV24
Тервел,41.3,DOB27
Тетевен,41.2,LOV33
Тополовград,38.6,HKV32
Трекляно,38.1,KNL50
Троян,28.2,LOV34
Трън,31.4,PER51
Трявна,23.8,GAB35
Тунджа,39.5,JAM25
Тутракан,39.2,SLS34
Търговище,32.7,TGV35
Угърчин,45.9,LOV36
Хаджидимово,35.3,BLG52
Хайредин,39.5,VRC35
Харманли,39.7,HKV33
Хасково,34.9,HKV34
Хисаря,34.7,PDV37
Хитрино,40.8,SHU11
Цар Калоян,41.7,RAZ36
Царево,34.4,BGS13
Ценово,32.0,RSE37
Чавдар,27.4,SFO57
Челопеч,26.6,SFO58
Чепеларе,28.4,SML38
Червен бряг,35.5,PVN37
Черноочене,46.5,KRZ35
Чипровци,36.3,MON36
Чирпан,36.2,SZR36
Чупрене,28.4,VID37
Шабла,29.6,DOB29
Шумен,27.2,SHU30
Ябланица,42.6,LOV38
Якимово,36.3,MON38
Якоруда,50.9,BLG53
Ямбол,28.3,JAM26
