;010300005;35;519;742;8;7;414;8;0;0;0;7;0;0;0;8;5;0;102;1;0;0;2;414;0;1;2;1;0;0;0;4;410
;010300006;35;528;753;7;4;336;7;0;0;0;3;1;1;1;7;5;2;189;1;0;0;2;336;0;0;0;3;4;0;1;8;328
;010300007;35;664;947;5;1;295;5;0;0;0;0;1;1;1;7;5;2;369;0;23;0;0;295;12;4;0;3;4;0;0;23;272
;010300008;35;636;907;4;0;382;4;0;0;0;0;0;1;1;6;3;6;251;1;0;0;2;382;9;0;0;0;0;0;0;9;373
;010300009;35;633;903;4;0;263;4;0;0;0;0;0;0;0;7;9;2;369;1;0;0;0;263;8;0;0;0;0;0;0;8;255
;010300010;35;636;909;7;0;335;9;0;0;0;0;0;1;1;6;5;2;300;1;13;0;0;335;0;0;10;2;1;0;0;13;322
;010300011;35;454;649;3;12;365;3;0;0;0;12;0;0;0;8;8;2;88;1;8;0;0;365;0;5;0;1;0;2;0;8;357
;010300012;35;607;867;1;5;448;1;0;0;0;5;0;0;0;7;8;2;157;2;0;0;0;448;0;1;2;0;2;3;0;8;440
;010300013;35;433;618;2;1;339;2;0;0;0;1;0;0;0;7;6;1;93;1;0;0;0;339;5;0;0;2;1;1;0;9;330
;010300014;35;858;720;4;1;442;3;0;0;0;1;0;0;0;9;4;2;414;1;0;0;1;442;0;0;5;2;2;0;3;12;430
;010300015;35;512;732;10;0;367;7;1;0;0;0;0;3;3;8;3;1;145;0;0;0;0;367;0;0;0;1;4;0;0;5;362
;010300016;35;385;550;2;4;342;2;0;0;0;4;0;0;0;7;6;3;41;1;0;0;1;342;0;1;0;0;0;0;0;1;341
;010300017;35;381;544;0;18;304;1;0;0;0;16;2;0;1;7;4;0;77;0;0;9;0;304;0;9;0;0;0;0;0;9;295
;010300018;35;477;680;4;6;376;4;0;0;0;6;0;1;1;7;5;5;95;3;0;0;3;376;4;3;0;1;3;0;0;11;365
;010300019;35;725;1035;4;9;445;4;0;0;0;9;0;0;0;9;2;7;278;1;0;0;1;445;0;1;2;3;2;0;0;8;437
;010300020;35;477;682;4;17;421;4;0;0;0;17;0;0;0;6;7;5;52;1;0;0;3;421;0;5;1;0;3;0;0;9;412
;010300021;35;555;793;2;8;398;2;0;0;0;8;0;0;0;10;6;1;155;1;12;0;0;398;2;4;0;2;3;0;1;12;386
;010300022;35;538;765;4;1;415;3;0;0;0;1;0;1;1;4;4;1;111;1;0;0;2;415;5;0;0;0;0;4;0;9;406
;010300023;35;241;344;16;18;214;4;0;0;0;18;0;1;1;6;6;1;25;1;0;0;1;214;1;1;0;2;2;1;0;7;207
;010300024;35;537;537;2;7;295;2;0;0;0;7;0;0;0;8;6;2;80;1;0;0;5;295;0;2;0;3;0;0;0;5;290
;010300025;35;293;419;3;1;227;3;0;0;0;1;0;1;1;5;8;0;63;1;0;0;2;227;0;4;0;3;1;0;0;8;219
;010300026;35;615;884;0;0;442;0;0;0;0;0;0;0;0;7;6;1;171;1;0;0;1;442;0;8;0;1;2;0;0;11;431
;010300027;35;600;714;5;51;466;6;0;0;1;50;0;1;0;6;4;1;128;2;0;0;4;466;7;0;0;1;0;0;1;9;457
