,Област / Община,Площ km2,Население,Население.1,Население.2,Население.3,Население.4,Население.5,Население.6,Население.7,Население.8,Население.9,Брой общ.,Гр.,Села,Общо
234,Ихтиман,541775,22 315,23 344,24 819,21 063,20 738,20 218,19 074,19 303,17 720,17 397,,1,27,28
235,Копривщица,139165,2326,2475,3154,3211,3316,3255,3132,2669,2410,1957,,1,–,1
236,Костенец,302073,14 758,15 968,16 608,16 447,17 254,17 112,16 532,15 142,12 793,11 062,,2,7,9
237,Костинброд,254412,14 210,15 442,15 635,18 649,19 715,19 321,17 951,18 015,17 846,17 824,,1,13,14
238,Мирково,207876,6916,6977,6199,5453,4857,4106,3534,3179,2540,2337,,–,11,11
239,Пирдоп,152435,4579,4936,6776,9559,10 801,10 102,9579,9352,8293,7281,,1,1,2
240,Правец,316715,15 467,14 623,12 196,9835,8916,9492,10 472,8995,7569,7131,,1,10,11
241,Самоков,"1 209,859",43 146,48 344,49 869,47 805,49 405,47 753,45 951,42 313,38 089,34 864,,1,27,28
242,Своге,868619,33 045,35 963,35 528,33 089,31 459,29 044,26 987,25 409,22 363,19 427,,1,37,38
243,Сливница,187433,11 088,11 893,11 506,11 006,11 871,11 959,11 326,10 422,9681,8987,,1,12,13
244,Чавдар,70797,2138,2132,1852,1888,1858,1654,1569,1422,1272,1180,,–,1,1
245,Челопеч,44390,1791,1705,1783,1954,2205,2216,1779,1710,1473,1456,,–,1,1
246,София,"1 348,902",400 705,525 710,724 603,905 287,1 076 741,1 201 719,1 190 126,1 170 842,1 291 591,1 274 290,1,4,34,38
247,Столична община,"1 348,902",400 705,525 710,724 603,905 287,1 076 741,1 201 719,1 190 126,1 170 842,1 291 591,1 274 290,1,4,34,38
248,Стара Загора,"5 156,885",289 411,308 405,324 362,362 018,396 766,411 990,397 339,370 615,333 265,296 507,11,11,195,206
249,Братя Даскалови,487956,29 583,30 245,25 498,20 893,16 723,13 359,12 393,11 065,9677,7266,,–,23,23
250,Гурково,292261,6234,6501,7428,7337,6694,6452,6160,5676,5127,4420,,1,10,11
251,Гълъбово,348895,18 815,19 626,19 350,23 038,21 287,20 313,17 740,16 182,13 394,10 967,,1,10,11
252,Казанлък,634781,39 848,44 503,53 865,67 818,83 579,91 279,88 761,81 533,72 581,65 721,,3,17,20
253,Мъглиж,388884,15 949,15 958,16 082,16 186,15 618,14 078,13 777,12 973,10 180,9992,,1,14,15
254,Николаево,96524,5435,5462,5483,6282,6385,5608,5302,4948,4346,4194,,1,3,4
255,Опан,257476,12 870,13 795,13 059,10 069,7092,5754,4859,4142,2950,2418,,–,13,13
256,Павел баня,518675,20 011,19 827,19 547,19 762,20 498,19 464,16 950,15 891,14 186,12 594,,1,12,13
257,Раднево,545145,26 612,28 247,27 671,31 597,30 949,27 335,26 244,24 280,20 079,16585,,1,23,24
258,Стара Загора,"1 063,418",77 480,84 926,97 710,123 936,153 664,176 861,175 451,167 661,160 108,144 213,,1,51,52
259,Чирпан,522870,36 574,39 315,38 219,35 100,34 277,31 487,29 702,26 264,21 637,18 137,,1,19,20
260,Търговище,"2 710,286",171 586,174 956,163 956,170 210,172 288,165 943,151 339,137 689,120 818,98 144,5,5,189,194
261,Антоново,478775,25 369,25 984,19 211,14 715,12 107,10 038,8697,7593,6262,4606,,1,58,59
262,Омуртаг,400831,27 238,30 527,30 430,33 051,32 772,30 446,27 000,25 212,21 853,16 144,,1,41,42
263,Опака,157352,12 119,12 966,11 942,11 359,10 101,9526,8986,7786,6664,5487,,1,5,6
264,Попово,832899,56 371,57 028,54 229,52 278,49 155,44 899,40 968,36 208,28 775,22 834,,1,34,35
265,Търговище,840429,50 489,48 451,48 144,58 807,68 153,71 034,65 688,60 890,57 264,49 073,,1,51,52
266,Хасково,"5 533,292",263 853,283 619,321 284,331 744,330 132,335 081,306 058,277 478,246 238,211 565,11,10,251,261
267,Димитровград,567603,41 065,45 555,71 660,76 168,75 494,78 841,72 818,64 852,53 557,44 632,,2,25,27
268,Ивайловград,814137,16 388,18 538,18 396,15 728,13 193,12 271,10 555,8107,6426,5161,,1,50,51
269,Любимец,344271,14 553,16 033,17 351,16 145,14 237,13 471,12 604,11 536,10 214,8940,,1,9,10
270,Маджарово,247224,6053,6415,6817,8045,5666,5116,4078,2157,1665,1484,,1,18,19
271,Минерални бани,214666,9509,10 226,9732,8289,8350,7984,7583,6838,5899,5520,,–,12,12
272,Свиленград,700315,29 311,32 169,32 397,30 557,26 996,27 159,26 704,25 375,23 004,20 764,,1,23,24
273,Симеоновград,222941,13 277,14 593,13 949,14 476,13 921,12 868,11 949,10 638,8755,7700,,1,8,9
274,Стамболово,276837,11 893,11 616,11 630,11 739,12 513,11 957,7662,5833,5934,5458,,–,26,26
275,Тополовград,710877,28 825,31 380,32 238,28 020,23 910,21 145,19 075,15 414,11 681,8941,,1,20,21
276,Харманли,694625,32 177,34 322,35 587,34 288,33 991,33 046,31 029,27 547,24 947,21 623,,1,24,25
277,Хасково,739796,60 802,62 772,71 527,88 289,101 861,111 223,102 001,99 181,94 156,81 342,,1,36,37
278,Шумен,"3 390,338",208 552,219 915,222 837,243 416,253 437,254 835,220 320,204 378,180 528,151 465,10,8,143,151
279,Велики Преслав,277626,17 253,17 026,17 989,21 092,21 565,20 028,17 682,16 276,13 382,10 424,,1,11,12
280,Венец,209911,14 231,15 546,14 355,15 161,14 329,13 212,9438,8042,7137,6103,,–,13,13
281,Върбица,456803,15 561,17 161,15 026,14 744,14 116,13 594,11 841,11 249,10 391,7724,,1,15,16
282,Каолиново,293535,19 648,20 652,20 917,22 364,20 916,19 424,13 556,12 544,12 093,10 519,,1,15,16
283,Каспичан,275056,14 024,13 554,13 119,13 355,12 612,11 490,10 483,9808,7976,6408,,2,7,9
284,Никола Козлево,264335,15 322,13 536,12 529,12 465,11 151,9967,8427,7157,6100,5262,,–,11,11
285,Нови пазар,317646,20 609,20 759,22 527,24 293,25 685,24 843,20 985,19 559,16 879,14 702,,1,15,16
286,Смядово,353767,16 085,17 424,15 709,13 889,11 753,10 469,9519,8242,6698,5502,,1,9,10
287,Хитрино,289369,17 246,18 741,17 442,16 440,14 889,12 523,8219,7045,6223,5654,,–,21,21
288,Шумен,652290,58 573,65 516,73 224,89 613,106 421,119 285,110 170,104 456,93 649,79 167,,1,26,27
289,Ямбол,"3 316,475",157 660,177 627,187 278,187 381,182 038,182 034,175 839,156 070,131 447,109 693,5,4,105,109
290,Болярово,667881,19 789,21 667,18 887,14 909,10 096,8546,7454,5638,4160,3118,,1,19,20
291,Елхово,701703,30 432,33 933,35 884,32 544,27 537,25 528,23 995,20 552,16 219,13 272,,1,21,22
292,Стралджа,676285,29 630,32 445,31 347,27 391,22 514,18 822,18 074,15 828,12 781,10 370,,1,21,22
293,Тунджа,"1 179,882",52 889,59 006,58 827,54 072,46 125,39 145,34 819,31 403,24 155,21 167,,–,44,44
294,Ямбол,90724,24 920,30 576,42 333,58 465,75 766,89 993,91 497,82 649,71 132,61 766,,1,–,1
