,Област / Община,Площ km2,Население,Население.1,Население.2,Население.3,Население.4,Население.5,Население.6,Население.7,Население.8,Население.9,Брой общ.,Гр.,Села,Общо
119,Монтана,"3 634,237",227 561,241 651,243 057,242 588,236 903,222 756,208 198,182 258,148 098,119 950,11,8,122,130
120,Берковица,463705,25 324,27 020,27 684,26 754,28 639,26 536,24 999,22 664,18 803,14 501,,1,19,20
121,Бойчиновци,308334,20 643,22 208,23 489,22 658,19 838,15 692,14 247,12 258,9272,7712,,1,12,13
122,Брусарци,194434,13 390,14 465,13 885,13 067,10 818,9083,8069,6826,5078,4096,,1,9,10
123,Вълчедръм,431514,27 471,28 723,27 261,25 190,21 951,18 293,15 858,13 146,9900,7698,,1,10,11
124,Вършец,240112,11 728,12 692,12 743,11 654,12 119,11 481,11 066,9870,8203,6927,,1,9,10
125,Георги Дамяново,297594,13 132,12 799,11 669,10 690,8739,6545,5558,4461,2771,2018,,–,13,13
126,Лом,323882,36 605,38 368,39 985,43 062,43 672,42 879,40 260,35 077,28 139,21 248,,1,9,10
127,Медковец,191089,12 110,12 746,12 548,11 229,9463,7687,6855,5661,4029,3085,,–,5,5
128,Монтана,675715,41 858,45 913,48 252,53 952,61 964,68 827,67 365,61 422,53 856,46 271,,1,23,24
129,Чипровци,286881,11 424,11 779,11 482,11 762,9148,7678,6817,4988,3715,2859,,1,9,10
130,Якимово,220977,13 876,14 938,14 059,12 570,10 552,8055,7104,5885,4332,3535,,–,4,4
131,Пазарджик,"4 479,907",211 451,244 385,277 198,296 641,314 006,326 188,326 123,310 723,275 548,229 814,12,13,104,117
132,Батак,677310,8159,8779,13 758,10 542,9445,8585,7639,7189,6144,4869,,1,2,3
133,Белово,346356,12 416,13 405,14 184,15 021,14 724,14 191,12 428,11 069,8891,7324,,1,7,8
134,Брацигово,229425,13 041,14 790,15 643,15 441,14 618,13 411,12 514,11 596,9648,7355,,1,6,7
135,Велинград,604471,16 938,20 299,27 534,30 640,35 380,37 564,38 281,37 728,35 757,32 951,,1,20,21
136,Лесичово,209430,12 766,13 576,12 239,10 701,9444,8030,7289,6633,5408,4695,,–,7,7
137,Пазарджик,636722,65 067,78 671,88 904,106 559,118 160,128 974,133 685,127 900,114 817,91 368,,1,31,32
138,Панагюрище,598913,24 781,27 350,28 503,31 791,33 146,33 825,32 599,29 818,25 263,22 084,,1,9,10
139,Пещера,158418,10 970,12 955,18 314,17 940,20 558,22 029,22 233,22 037,18 899,14 742,,1,2,3
140,Ракитово,246438,8865,9861,12 095,12 825,13 925,15 031,15 764,15 868,15 064,13 490,,2,1,3
141,Септември,349372,27 886,31 818,33 356,32 725,33 092,33 107,32 263,29 872,25 794,21 795,,2,13,15
142,Стрелча,224460,9589,10 563,9657,8240,7527,6902,6650,6019,4913,4409,,1,4,5
143,Сърница,198592,981,2318,3011,4216,3987,4539,4778,4994,4950,4732,,1,2,3
144,Перник,"3 394,221",155 573,169 042,179 319,180 199,173 828,179 923,163 307,149 832,133 530,114 162,6,6,165,171
145,Брезник,404038,20 535,20 377,17 475,14 599,12 582,10 994,10 250,8532,6945,5800,,1,34,35
146,Земен,247077,14 100,13 873,11 470,8601,6935,5652,5134,4139,2762,2013,,1,17,18
147,Ковачевци,144945,10 410,9640,6906,4636,3429,2668,2583,2155,1600,1262,,–,10,10
148,Перник,484213,42 617,59 593,91 081,109 724,113 890,117 615,111 244,104 625,97 181,84 347,,2,22,24
149,Радомир,540488,39 131,39 130,33 785,29 739,27 217,28 072,27 206,24 754,20 896,17 238,,1,31,32
150,Трън,573460,28 780,26 429,18 602,12 900,9775,7922,6890,5627,4146,3502,,1,51,52
151,Плевен,"4 653,324",314 304,345 507,356 993,366 347,372 703,362 398,346 614,311 985,269 752,226 120,11,14,109,123
152,Белене,285046,14 342,15 785,18 829,15 897,14 683,13 241,13 857,12 581,10 318,7803,,1,5,6
153,Гулянци,459201,29 481,32 359,31 443,29 877,25 588,22 299,20 135,16 752,12 336,9540,,1,11,12
154,Долна Митрополия,674897,42 771,46 877,45 222,42 424,38 409,32 196,29 087,25 311,20 064,16816,,2,14,16
155,Долни Дъбник,307569,22 726,24 413,24 000,24 555,21 653,18 634,17 377,15 701,11 670,9956,,1,6,7
156,Искър,243899,16 323,17 972,17 644,15 893,13 683,11 507,10 228,9107,6884,5686,,1,3,4
157,Кнежа,317812,22 334,23 830,23 012,22 269,22 031,20 196,18 640,17 079,13803,12 937,,1,3,4
158,Левски,414692,31 463,34 303,34 434,36 387,34 410,31 128,29 127,25 995,19 938,15 426,,1,12,12
159,Никопол,416582,24 328,26 301,23 939,22 732,20 812,17 785,15 840,13 656,9305,6958,,1,13,14
160,Плевен,809712,75 875,86 245,100 779,118 841,145 380,162 076,160 480,149 142,131 152,113 131,,2,23,25
161,Пордим,238132,16 380,17 485,16 672,15 392,13 041,10 553,9607,8179,6426,4892,,1,7,8
162,Червен бряг,485782,40 615,43 767,44 031,44 349,45 044,42 979,40 876,35 561,27 856,22 975,,2,12,14
163,Пловдив,"5 993,524",452 099,520 567,571 012,656 985,727 010,761 626,739 694,715 816,683 027,634 497,18,18,194,212
164,Асеновград,665391,48 094,54 127,55 590,64 564,68 962,72 451,69 109,67 235,64 034,57 601,,1,28,29
165,Брезово,465405,23 981,23 973,20 815,16 886,14 049,11 503,10 396,8837,7298,6170,,1,15,16
166,Калояново,347452,23 526,25 114,24 588,21 786,19 032,16 671,15 144,13 649,11 879,10 598,,–,15,15
167,Карлово,"1 059,182",45 876,50 312,54 910,64 177,68 754,68 341,64 595,59 292,42 480,46 784,,4,23,27
168,Кричим,54895,4515,6026,6992,9600,8687,9441,8761,8535,8409,7245,,1,–,1
169,Куклен,148375,8143,8554,7147,7499,7794,7281,6408,6556,6431,6276,,1,5,6
170,Лъки,292511,4640,5169,6193,7912,6333,6067,5199,4044,2902,2220,,1,10,11
171,Марица,342657,23 642,27 283,30 197,30 762,32 392,32 498,32 130,32 332,32 438,32 154,,–,19,19
172,Перущица,48719,5536,6284,5975,6138,5875,5720,5586,5387,5058,4298,,1,–,1
173,Пловдив,101981,101 265,128 589,164 853,229 043,299 638,342 050,341 058,338 224,338 153,319 612,,1,–,1
174,Първомай,521590,41 210,43 976,43 635,41 025,39 263,36 785,34 650,31 160,25 883,21 807,,1,16,17
175,Раковски,263963,21 916,25 823,27 508,28 463,27 873,29 784,28 522,28 383,26 381,25 893,,1,6,7
176,Родопи,523729,30 157,34 248,33 069,35 903,37 515,36 110,34 983,34 259,26 171,32 689,,–,21,21
177,Садово,192859,17 683,19 716,19 804,20 043,19 384,17 922,17 007,16 786,15 604,14 766,,1,11,12
