,0
663,302100002
664,302300014
665,302300015
666,302300020
667,302500006
668,302500011
669,303000006
670,303000037
671,303000105
672,303000109
673,303000121
674,303000122
675,303000123
676,303000124
677,310700024
678,312200003
679,312200007
680,312200012
681,312200019
682,312200022
683,312200026
684,312500005
685,312500010
686,312500018
687,312500044
688,312600041
689,312600042
690,312600043
691,010100011
692,010300099
693,010300100
694,010300107
695,011300009
696,020100030
697,030200035
698,030602395
699,063500005
700,072900043
701,082700011
702,091600139
703,091600146
704,091600150
705,104800072
706,130800023
707,131400010
708,171300034
709,171300073
710,172600056
711,172800003
712,190800013
713,203200608
714,211100016
715,254611074
716,261800020
717,262000030
718,272200004
719,273100157
720,282400019
721,282400049
722,282400050
723,282400051
