,ACF HR LT
531,190500007
532,190500010
533,190500014
534,190500015
535,190500020
536,191300016
537,191300018
538,192700051
539,192700053
540,192700171
541,192700200
542,192700203
543,192700204
544,192700210
545,193300003
546,193300007
547,193700008
548,200100206
549,200100208
550,200100209
551,200700305
552,200700315
553,200700323
554,201000411
555,201000414
556,201000422
557,201000440
558,201500501
559,201500502
560,201500503
561,201500508
562,203200604
563,203200610
564,203400715
565,203400716
566,203400721
567,203400722
568,203400724
569,211100001
570,211100006
571,211100008
572,211100015
573,211100016
574,211100020
575,211100022
576,211100023
577,211100026
578,211100027
579,211600040
580,211600053
581,212000127
582,212000129
583,212000141
584,212000143
585,212000155
586,212000165
587,212000175
588,212400008
589,212400019
590,220200008
591,220200014
592,220200015
593,220200016
594,220500007
595,220900015
596,220900016
597,220900020
598,221100010
599,221100012
600,221100013
601,221100015
602,221600013
603,221600023
604,221600034
605,221800013
606,221800017
607,221800018
608,222700014
609,223100043
610,223100056
611,223100061
612,223100066
613,223100075
614,223100077
615,223100085
616,223800006
617,223800008
618,223800010
619,234610065
620,234616002
621,244604060
622,244605065
623,244614056
624,254611067
625,254611073
626,254611074
627,254618045
628,254619132
629,254620045
630,260700024
631,260900006
632,260900007
633,260900008
634,260900010
635,261600011
636,261600017
637,261700027
638,261700031
639,261800013
640,261800015
641,261800016
642,261800017
643,262000018
644,262000021
645,262000024
646,262000029
647,262000030
648,262500014
649,262500019
650,262600020
651,262600023
652,263900037
653,263900049
654,263900062
655,264300029
656,264300035
657,264300043
658,265600005
659,270400014
660,270400016
661,270400020
662,270700012
663,270700017
664,270700022
665,271200062
666,271200063
667,271200067
668,271200068
669,271200071
670,271200074
671,272200010
672,272300006
673,272300008
674,272400002
675,272400005
676,272400013
677,272700011
678,272700015
679,272700017
680,272700023
681,272700032
682,273100132
683,273100133
684,273100145
685,273100154
686,273100155
687,273100157
688,273100161
689,273100162
690,273100163
691,273100168
692,273100183
693,273100199
694,273100202
695,273600025
696,273600032
697,273600033
698,273800003
699,280200018
700,280200025
701,282200009
702,282200012
703,282200014
704,282200015
705,282200040
706,282200041
707,282200045
708,282200046
709,282200049
710,282300005
711,282400032
712,282400033
713,282400034
714,282400041
715,282400042
716,282400047
717,283500043
718,283500047
719,283500049
720,283500053
721,283500054
722,283500061
723,283500066
724,283500068
725,283500071
726,283500075
727,283500080
728,283500085
729,283500086
730,283500087
731,283500088
732,283500097
733,283500100
734,283500103
735,290900060
736,290900061
737,290900079
738,290900080
739,290900081
740,290900085
741,291100016
742,291100018
743,291100022
744,291800003
745,291800005
746,291800007
747,291800008
748,291800010
749,292800022
750,292800034
751,292800039
752,292900011
753,292900015
754,293000026
755,293300021
756,293300026
757,293300033
758,293300044
759,293400043
760,293400055
761,293400086
762,293400091
763,293400105
764,293400129
765,293400142
766,293400145
767,293400148
768,293400149
769,300700002
770,300700011
771,301100002
772,301100006
773,301100008
774,301100009
775,301100018
776,301100020
777,301800013
778,301800017
779,301800021
780,301800023
781,301900011
782,301900014
783,302100001
784,302100004
785,302100012
786,302200019
787,302200035
788,302300006
789,302300017
790,302300020
791,302500006
792,302500010
793,303000010
794,303000101
795,303000124
796,310700016
797,310700022
798,310700027
799,310700029
800,312200015
801,312200023
802,312200027
803,312500017
804,312500024
805,312500040
806,312500046
807,312600042
808,312600044
809,010100023
810,010200002
811,010200012
812,010300138
813,011100018
814,011100034
815,011100040
816,011300001
817,011300003
818,011300013
819,011300022
820,012800009
821,013300037
822,013300045
823,013300072
824,013300073
825,013300076
826,013700015
827,014000033
828,014000054
829,014000065
830,014200001
831,014200010
832,014200013
833,014200015
834,014200022
835,014400012
836,014900004
837,015200004
838,015300008
839,020100025
840,020100026
841,020100029
842,020100032
843,020100034
844,020100038
845,020100039
846,020100041
847,020100042
848,020100049
849,020400078
850,020400148
851,020400321
852,020600012
853,020600014
854,020600028
855,020800009
856,020800012
857,020800016
858,020900006
859,020900029
860,020900038
861,020900039
862,020900047
863,020900051
864,020900053
865,021200007
866,021500029
867,021700008
868,021700010
869,021700032
870,021700035
