sid;ГЕРБ-СДС;ДПС;ПП/ДБ;ВЪЗР;БСП;ИТН;ВЕЛИЧИЕ;МЕЧ;npn;invalid;СИНЯ БЪЛГАРИЯ;СОЛИДАРНА БГ;ЦЕНТЪР;ВМРО БНД;ЛЕВИЦАТА;БВ;ЗЕЛЕНО ДВИЖЕНИЕ;ГЛАС НАРОДЕН;НИЕ ИДВАМЕ;ЗЕЛЕНИТЕ;ПРЯКА ДЕМОКРАЦИЯ;ЕДИНЕНИЕ;НИЕ ГРАЖДАНИТЕ;БЪЛГАРСКИ ГЛАСЪ;ГРАЖДАНСКИ БЛОК;НП ИСИ;НЕУТРАЛНА БЪЛГАРИЯ;ОБЩЕСТВО ЗА НОВА БГ;КОАЛИЦИЯ НА РОЗАТА;БНС-НД;ЗА ВЕЛИКА БЪЛГАРИЯ;БСДД;БНО;station_type;municipality;country_name;station;region_name;ekatte;place;address;municipality_name;eligible_voters
010100015;129;5;14;22;15;8;10;8;6;5;2;4;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1;България;15;01. БЛАГОЕВГРАД;21498;гр.Добринище;гр. ДОБРИНИЩЕ ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21;Банско;616
010100016;45;1;21;13;56;7;5;1;5;2;2;3;2;1;0;1;0;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;;1;България;16;01. БЛАГОЕВГРАД;21498;гр.Добринище;гр. ДОБРИНИЩЕ ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21;Банско;434
010100014;94;1;41;23;26;7;8;3;11;8;4;1;9;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;;1;България;14;01. БЛАГОЕВГРАД;21498;гр.Добринище;гр. ДОБРИНИЩЕ ЧИТАЛИЩЕ  ДИМИТЪР БЛАГОЕВ , ПЛ.  НЕЗАВИСИМОСТ  №2;Банско;645
010100018;14;0;1;0;4;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;България;18;01. БЛАГОЕВГРАД;17381;с.Гостун;с. ГОСТУН КЛУБ НА ПЕНСИОНЕРА;Банско;25
010100021;31;4;11;2;10;3;0;0;1;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;България;21;01. БЛАГОЕВГРАД;39614;с.Кремен;с. КРЕМЕН КЛУБ НА ПЕНСИОНЕРА;Банско;130
010100022;38;0;5;6;18;0;5;1;3;5;0;5;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;България;22;01. БЛАГОЕВГРАД;47857;с.Места;с. МЕСТА КЛУБ НА ПЕНСИОНЕРА;Банско;187
010100020;12;0;1;1;2;0;0;0;0;3;0;12;0;9;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;България;20;01. БЛАГОЕВГРАД;53059;с.Обидим;с. ОБИДИМ КЛУБ НА ПЕНСИОНЕРА;Банско;73
010100019;12;0;2;2;12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;България;19;01. БЛАГОЕВГРАД;54136;с.Осеново;с. ОСЕНОВО КЛУБ НА ПЕНСИОНЕРА;Банско;38
010100023;77;129;4;5;8;11;1;4;1;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1;България;23;01. БЛАГОЕВГРАД;76090;с.Филипово;с. ФИЛИПОВО КЛУБ НА ПЕНСИОНЕРА;Банско;526
010200001;30;80;9;22;43;5;3;6;3;6;3;1;4;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;0;0;;2;България;1;01. БЛАГОЕВГРАД;3504;гр.Белица;гр. БЕЛИЦА ГИМНАЗИЯ  Н. Й. ВАПЦАРОВ , УЛ.  ДИМО ХАДЖИДИМОВ ;Белица;562
