sid;ГЕРБ-СДС;ДПС;ПП/ДБ;ВЪЗР;БСП;ИТН;ВЕЛИЧИЕ;МЕЧ;npn;invalid;СИНЯ БЪЛГАРИЯ;СОЛИДАРНА БГ;ЦЕНТЪР;ВМРО БНД;ЛЕВИЦАТА;БВ;ЗЕЛЕНО ДВИЖЕНИЕ;ГЛАС НАРОДЕН;НИЕ ИДВАМЕ;ЗЕЛЕНИТЕ;ПРЯКА ДЕМОКРАЦИЯ;ЕДИНЕНИЕ;НИЕ ГРАЖДАНИТЕ;БЪЛГАРСКИ ГЛАСЪ;ГРАЖДАНСКИ БЛОК;НП ИСИ;НЕУТРАЛНА БЪЛГАРИЯ;ОБЩЕСТВО ЗА НОВА БГ;КОАЛИЦИЯ НА РОЗАТА;БНС-НД;ЗА ВЕЛИКА БЪЛГАРИЯ;БСДД;БНО;station_type;municipality;country_name;station;region_name;ekatte;place;address;municipality_name;eligible_voters
042200006;45;4;22;46;32;10;11;4;2;6;3;1;3;4;0;0;6;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;;22;България;6;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ ОУ Св. Кл. Охридски, каб. английски език, пл. Свобода №21;Павликени;651
042200017;45;2;8;33;37;4;11;5;5;5;1;1;5;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;17;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ ОУ Св. Климент Охридски, кабинет №10, ,пл.  Свобода  №21;Павликени;558
042200004;42;2;11;37;18;19;22;5;5;1;2;6;1;0;0;1;6;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;;22;България;4;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ ОУ Св. Климент Охридски-кабинет №4, І етаж, пл.  Свобода №21;Павликени;536
042200007;39;3;6;43;35;9;14;7;8;4;3;3;3;18;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;;22;България;7;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ ОУ Св. Климент Охридски-кабинет №9, І етаж, пл.  Свобода №21;Павликени;738
042200016;48;2;11;37;45;11;12;7;6;4;3;0;1;5;0;0;3;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;;22;България;16;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ СУ Бачо Киро, нова сгр. , ет. 1, 12а клас. ул.  Св. Св. Кирил и Методий №53;Павликени;582
042200003;23;2;6;21;15;9;11;4;2;1;3;0;1;7;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;;22;България;3;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ СУ Бачо Киро, нова сгр. к-т биология, ул.  Св. Св. Кирил и Методий  №53;Павликени;414
042200002;51;5;16;30;45;6;5;8;5;5;4;2;1;2;2;3;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;;22;България;2;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ СУ Бачо Киро, нова сгр. к-т руски ез. ул. Св. Св. Кирил и Методий №53;Павликени;602
042200001;37;3;7;33;21;18;13;2;7;1;1;1;0;1;5;0;1;0;0;2;0;0;1;0;0;2;2;0;0;0;0;0;0;;22;България;1;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ СУ Бачо Киро, нова сгр. каб. рисуване, ул.  Св. Св. Кирил и Методий  №53;Павликени;562
042200013;39;2;19;33;20;4;15;4;4;4;5;4;1;2;0;3;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;13;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ Спортна зала-шах клуб ул.  Г. С. Раковски  №2;Павликени;542
042200014;26;5;8;27;24;23;8;7;1;3;2;2;3;3;1;2;1;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;;22;България;14;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ Стадиона /битова сграда/ бул.  Руски  №44;Павликени;578
042200005;29;5;12;20;22;15;4;7;3;4;6;0;2;0;0;1;4;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;;22;България;5;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;гр. ПАВЛИКЕНИ лекционна зала Н Читалище  Братство , пл.  Свобода №3;Павликени;416
042200045;6;3;1;2;10;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;22;България;45;04. ВЕЛИКО ТЪРНОВО;55052;гр.Павликени;н.д.;Павликени;28
042200021;12;81;0;9;35;3;8;3;11;25;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;22;България;21;04. ВЕЛИКО ТЪРНОВО;2823;с.Батак;с. БАТАК ОУ с. Батак, ул Първа №41, стая 1 клас;Павликени;660
042200022;18;29;5;30;39;8;7;2;11;9;0;4;1;7;0;1;3;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;;22;България;22;04. ВЕЛИКО ТЪРНОВО;7123;с.Бутово;с. БУТОВО Н Читалище, ул 37-ма №22;Павликени;603
042200026;18;1;3;9;28;7;12;0;4;5;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;22;България;26;04. ВЕЛИКО ТЪРНОВО;11380;с.Вишовград;с. ВИШОВГРАД Клуб на пенсионера, пл.  Поп Балчо  №2;Павликени;197
042200028;2;101;2;2;24;2;0;2;1;7;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;22;България;28;04. ВЕЛИКО ТЪРНОВО;12783;с.Върбовка;с. ВЪРБОВКА НЧ  Христо Ботев , ул. Втора №30, малка зала 1-ви етаж;Павликени;428
042200027;3;188;4;7;33;1;2;14;3;5;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;;22;България;27;04. ВЕЛИКО ТЪРНОВО;12783;с.Върбовка;с. ВЪРБОВКА НЧ  Христо Ботев , ул. Втора №30, фоае;Павликени;692
042200029;15;4;4;20;34;6;5;4;1;9;0;1;0;0;1;1;4;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;;22;България;29;04. ВЕЛИКО ТЪРНОВО;16290;с.Горна Липница;с. ГОРНА ЛИПНИЦА ЧППК Наша нива, ул.  1-ва  №43 /бивша аптека/;Павликени;298
042200031;23;7;2;9;23;1;5;2;2;6;0;0;0;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;22;България;31;04. ВЕЛИКО ТЪРНОВО;21138;с.Димча;с. ДИМЧА Клуб на пенсионера - Димча, ул.  1-ва  №27;Павликени;250
042200030;15;2;6;25;28;2;3;10;1;2;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;30;04. ВЕЛИКО ТЪРНОВО;22160;с.Долна Липница;с. ДОЛНА ЛИПНИЦА Пенсионерски клуб, ул. Втора №5;Павликени;425
042200032;23;8;6;13;22;4;3;2;1;9;1;3;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;;22;България;32;04. ВЕЛИКО ТЪРНОВО;24685;с.Дъскот;с. ДЪСКОТ Н Читалище - Дъскот, ул.  33-та  №1;Павликени;287
042200034;0;1;2;1;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;34;04. ВЕЛИКО ТЪРНОВО;36289;с.Караисен;Дом за стари хора /ДСХ/ село Караисен ;Павликени;27
042200033;71;2;12;25;31;11;11;7;9;2;0;1;3;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;33;04. ВЕЛИКО ТЪРНОВО;36289;с.Караисен;с. КАРАИСЕН НЧ Добра надеждаул.  27-ма  №6;Павликени;677
042200035;41;2;16;20;13;5;4;2;4;5;2;1;0;0;1;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;22;България;35;04. ВЕЛИКО ТЪРНОВО;43356;с.Лесичери;с. ЛЕСИЧЕРИ Клуб на пенсионера, ул. Тринадесета №3А;Павликени;315
042200036;72;86;6;20;27;10;8;5;4;11;3;3;0;0;0;0;4;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;;22;България;36;04. ВЕЛИКО ТЪРНОВО;48550;с.Михалци;с. МИХАЛЦИ НЧ с. Михалци, МС, бул.  Професор П. Кунин  №73;Павликени;510
042200037;14;8;5;10;16;3;1;0;2;4;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;37;04. ВЕЛИКО ТЪРНОВО;49429;с.Мусина;с. МУСИНА Клуб на кметството с. Мусина, ул.  1-ва  №16;Павликени;113
042200038;12;36;2;17;21;4;3;1;4;3;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;38;04. ВЕЛИКО ТЪРНОВО;51295;с.Недан;с. НЕДАН ОУ, стая III клас, ул.  30-та  №2;Павликени;388
042200039;19;159;4;10;14;2;3;8;1;11;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;39;04. ВЕЛИКО ТЪРНОВО;51295;с.Недан;с. НЕДАН ОУ, стая IІ клас, ул.  30-та  №2;Павликени;669
042200040;3;0;2;3;40;3;4;0;2;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;22;България;40;04. ВЕЛИКО ТЪРНОВО;55508;с.Паскалевец;с. ПАСКАЛЕВЕЦ Клуб на пенсионера, ул.  3-та  №26;Павликени;97
042200041;25;2;5;20;23;4;7;3;3;8;1;1;0;1;2;2;2;0;0;3;0;1;0;1;1;0;0;0;0;0;0;1;0;;22;България;41;04. ВЕЛИКО ТЪРНОВО;55573;с.Патреш;с. ПАТРЕШ Клуб на пенсионера, ул.  1-ва  11а;Павликени;311
042200042;11;2;3;6;26;3;8;0;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;22;България;42;04. ВЕЛИКО ТЪРНОВО;63080;с.Росица;с. РОСИЦА Клуб на пенсионера, ул.  6-та  1А;Павликени;113
042200043;21;2;1;9;19;5;6;3;3;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;22;България;43;04. ВЕЛИКО ТЪРНОВО;67475;с.Сломер;с. СЛОМЕР Народно читалище - Сломер, гол. фоайе ет. 1, ул.  1-ва  №42;Павликени;223
042200044;19;92;4;8;17;6;0;2;1;14;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;22;България;44;04. ВЕЛИКО ТЪРНОВО;68708;с.Стамболово;помещение читалищен салон - НЧ  Зора-Стамболово-1881  ;Павликени;575
042600023;4;8;2;9;10;3;2;1;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;;26;България;23;04. ВЕЛИКО ТЪРНОВО;57354;гр.Полски Тръмбеш;СБПЛР „Минерални бани – Полски Тръмбеш“ ЕООД ;Полски Тръмбеш;63
042600001;42;3;16;24;50;26;7;9;1;7;1;4;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;;26;България;1;04. ВЕЛИКО ТЪРНОВО;57354;гр.Полски Тръмбеш;гр. ПОЛСКИ ТРЪМБЕШ Клуб на пенсионера, ул. Търговска №41, ет. 2;Полски Тръмбеш;818
042600002;44;3;12;20;68;20;14;5;5;7;0;0;5;1;0;0;0;1;0;0;0;1;1;1;0;0;2;0;2;0;1;0;0;;26;България;2;04. ВЕЛИКО ТЪРНОВО;57354;гр.Полски Тръмбеш;гр. ПОЛСКИ ТРЪМБЕШ Ритуална зала на Общината, ул.  Черно море  4А, ет. 1;Полски Тръмбеш;698
042600003;41;10;7;16;49;8;6;2;4;7;2;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;26;България;3;04. ВЕЛИКО ТЪРНОВО;57354;гр.Полски Тръмбеш;гр. ПОЛСКИ ТРЪМБЕШ Ритуална зала на Общината, ул.  Черно море  4А, ет. 1;Полски Тръмбеш;741
042600004;28;104;5;27;31;13;4;3;7;13;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;26;България;4;04. ВЕЛИКО ТЪРНОВО;57354;гр.Полски Тръмбеш;гр. ПОЛСКИ ТРЪМБЕШ Сградата на СУ Ц. Церковски - I етаж, ул. Училищна №25;Полски Тръмбеш;873
042600005;49;1;9;31;46;14;10;8;6;8;1;1;2;1;1;5;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;;26;България;5;04. ВЕЛИКО ТЪРНОВО;57354;гр.Полски Тръмбеш;гр. ПОЛСКИ ТРЪМБЕШ Сградата на СУ Ц. Церковски - I етаж, ул. Училищна №25;Полски Тръмбеш;751
042600022;5;0;3;1;19;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;26;България;22;04. ВЕЛИКО ТЪРНОВО;57354;гр.Полски Тръмбеш;н.д.;Полски Тръмбеш;35
042600011;10;1;2;3;14;2;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;26;България;11;04. ВЕЛИКО ТЪРНОВО;12869;с.Вързулица;с. ВЪРЗУЛИЦА Народно Читалище  Пробуда  І етаж №58;Полски Тръмбеш;90
042600013;24;1;8;14;34;3;2;7;2;7;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;26;България;13;04. ВЕЛИКО ТЪРНОВО;32175;с.Иванча;с. ИВАНЧА Стол на кооперацията - I етаж №535;Полски Тръмбеш;288
042600009;13;28;8;5;23;2;0;1;1;7;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;26;България;9;04. ВЕЛИКО ТЪРНОВО;36405;с.Каранци;с. КАРАНЦИ Стол на кооперацията І етаж №249;Полски Тръмбеш;183
042600021;26;0;26;19;35;8;13;4;6;2;0;1;1;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1;0;0;;26;България;21;04. ВЕЛИКО ТЪРНОВО;41246;с.Климентово;с. КЛИМЕНТОВО Общинска сграда - ресторант, ул. Иван Аврамов №31;Полски Тръмбеш;565
042600020;16;70;15;16;13;4;5;6;4;6;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;26;България;20;04. ВЕЛИКО ТЪРНОВО;40782;с.Куцина;с. КУЦИНА Читалище  Нравственост  І етаж №462;Полски Тръмбеш;450
042600010;19;2;6;19;80;5;4;4;2;9;1;0;0;1;2;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;26;България;10;04. ВЕЛИКО ТЪРНОВО;47439;с.Масларево;с. МАСЛАРЕВО Клуб към Читалище  Паисий Хилендарски  №31;Полски Тръмбеш;362
042600012;15;5;9;20;39;3;5;4;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;26;България;12;04. ВЕЛИКО ТЪРНОВО;53014;с.Обединение;с. ОБЕДИНЕНИЕ Клуб в административната сграда І етаж, ул. Първа №46;Полски Тръмбеш;446
042600008;25;55;5;6;12;9;2;3;0;11;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;26;България;8;04. ВЕЛИКО ТЪРНОВО;53905;с.Орловец;с. ОРЛОВЕЦ ОУ Христо Ботев - I етаж №327;Полски Тръмбеш;404
042600016;17;17;8;24;30;5;4;5;2;3;0;0;0;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;26;България;16;04. ВЕЛИКО ТЪРНОВО;55018;с.Павел;с. ПАВЕЛ Народно читалище  Изгрев-1900 , ул. Осемнадесета №13;Полски Тръмбеш;475
042600018;29;131;1;9;9;5;3;2;1;10;0;3;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;26;България;18;04. ВЕЛИКО ТЪРНОВО;65471;с.Петко Каравелово;с. ПЕТКО КАРАВЕЛОВО ОУ Васил Левски - I етаж, ул. Втора №40;Полски Тръмбеш;605
042600019;17;223;3;13;13;6;1;3;2;21;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0;;26;България;19;04. ВЕЛИКО ТЪРНОВО;65471;с.Петко Каравелово;с. ПЕТКО КАРАВЕЛОВО ОУ Васил Левски - I етаж, ул. Втора №40;Полски Тръмбеш;713
042600014;31;2;15;25;56;6;3;4;1;5;0;3;0;4;5;0;0;1;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;;26;България;14;04. ВЕЛИКО ТЪРНОВО;57340;с.Полски Сеновец;с. ПОЛСКИ СЕНОВЕЦ Клуб на пенсионера, ул. Първа №51;Полски Тръмбеш;375
042600006;19;58;6;16;29;11;1;5;1;3;1;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;26;България;6;04. ВЕЛИКО ТЪРНОВО;61279;с.Раданово;с. РАДАНОВО ОУ Св. св. Кирил и Методий - І етаж, ул. Четиридесет и първа №8;Полски Тръмбеш;647
042600007;21;139;3;6;18;3;0;10;3;8;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;;26;България;7;04. ВЕЛИКО ТЪРНОВО;61279;с.Раданово;с. РАДАНОВО ОУ Св. св. Кирил и Методий - І етаж, ул. Четиридесет и първа №8;Полски Тръмбеш;689
042600015;13;1;3;4;67;2;2;1;0;5;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;26;България;15;04. ВЕЛИКО ТЪРНОВО;17467;с.Стефан Стамболово;с. СТЕФАН СТАМБОЛОВО Народно Читалище  Самообразование , пл. Център №1;Полски Тръмбеш;140
042600017;27;1;7;24;21;8;7;6;5;6;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;26;България;17;04. ВЕЛИКО ТЪРНОВО;69732;с.Страхилово;с. СТРАХИЛОВО Сградата на Народно читалище Просвета 1896 - I етаж, пл. Пет №4;Полски Тръмбеш;605
042800029;11;2;1;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;28;България;29;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;МБАЛ „Д-р Димитър Павлович“ ЕООД;Свищов;12
042800030;40;5;4;3;3;0;0;0;1;17;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;;28;България;30;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ Дом за стари хора  Мария Луиза  - местност Паметниците №1;Свищов;97
042800001;18;61;6;5;6;8;2;4;5;3;2;1;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;28;България;1;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ОУ  Ф. Сакелариевич , ул. Алeко Константинов №24;Свищов;654
042800002;36;15;10;29;10;7;4;4;5;2;3;2;0;0;2;1;1;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;;28;България;2;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ОУ  Ф. Сакелариевич , ул. Алeко Константинов №24;Свищов;429
042800003;18;10;11;17;5;10;6;1;2;6;1;2;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;;28;България;3;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ОУ  Ф. Сакелариевич , ул. Алeко Константинов №24;Свищов;450
042800005;50;35;17;41;12;16;8;5;10;7;2;1;3;4;3;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;;28;България;5;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ОУ  Ф. Сакелариевич , ул. Алeко Константинов №24;Свищов;621
042800006;32;3;29;25;18;13;10;3;3;2;7;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;28;България;6;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ОУ  Ф. Сакелариевич , ул. Алeко Константинов №24;Свищов;418
042800007;58;5;32;25;28;12;18;2;8;1;1;4;3;5;3;4;0;1;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;;28;България;7;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ОУ  Ф. Сакелариевич , ул. Алeко Константинов №24;Свищов;661
042800012;63;1;31;28;23;16;16;3;7;1;13;4;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;28;България;12;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ПДТГ  Д. Хадживасилев , ул. Д. Хадживасилев №11;Свищов;510
042800013;52;3;21;34;20;13;9;6;4;0;3;1;4;3;3;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;;28;България;13;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ПДТГ  Д. Хадживасилев , ул. Д. Хадживасилев №11;Свищов;469
042800014;26;0;18;24;12;7;6;2;4;1;2;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;;28;България;14;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ПДТГ  Д. Хадживасилев , ул. Д. Хадживасилев №11;Свищов;378
042800016;39;8;20;33;23;20;2;3;5;2;3;2;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;2;1;0;0;0;;28;България;16;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ ПДТГ  Д. Хадживасилев , ул. Д. Хадживасилев №11;Свищов;516
042800009;20;68;7;17;8;4;3;2;1;7;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;;28;България;9;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СПГ  Алеко Константинов , ул.  Искър  №19;Свищов;672
042800010;35;27;17;20;12;15;3;7;0;2;2;3;0;0;0;2;0;0;2;0;3;1;0;0;1;0;0;0;1;0;0;0;0;;28;България;10;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СПГ  Алеко Константинов , ул.  Искър  №19;Свищов;539
042800087;49;42;15;28;19;13;18;7;7;6;2;2;2;4;1;3;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;;28;България;87;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СПГ  Алеко Константинов , ул.  Искър  №19;Свищов;718
042800011;37;2;21;35;7;23;6;3;6;5;1;1;0;2;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;28;България;11;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Димитър Благоев , ул. П. Ангелов №17;Свищов;526
042800017;91;4;39;35;25;17;32;4;12;2;2;3;1;0;4;1;2;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;;28;България;17;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Димитър Благоев , ул. П. Ангелов №17;Свищов;750
042800032;58;4;24;27;16;10;12;4;4;6;4;2;0;0;3;3;0;0;0;0;3;0;2;0;0;0;0;0;0;0;2;0;0;;28;България;32;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Димитър Благоев , ул. П. Ангелов №17;Свищов;599
042800033;32;4;11;35;13;12;11;7;6;3;1;2;0;4;2;1;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;;28;България;33;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Димитър Благоев , ул. П. Ангелов №17;Свищов;507
042800023;45;10;20;25;11;13;7;11;6;1;2;1;4;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;28;България;23;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Николай Катранов , ул. Христаки Павлович №8;Свищов;598
042800024;29;4;20;43;19;13;12;3;9;1;9;2;2;0;4;0;1;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;;28;България;24;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Николай Катранов , ул. Христаки Павлович №8;Свищов;626
042800020;56;0;18;30;19;12;8;2;12;3;3;0;4;1;0;0;3;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;;28;България;20;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Цветан Радославов , ул. Черни връх №66;Свищов;660
042800031;65;6;11;41;19;18;15;5;9;0;2;2;0;0;0;2;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;;28;България;31;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Цветан Радославов , ул. Черни връх №66;Свищов;721
042800035;54;11;13;34;13;17;10;6;13;4;1;4;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;28;България;35;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Цветан Радославов , ул. Черни връх №66;Свищов;701
042800090;41;17;15;29;10;17;17;3;6;5;3;1;2;0;1;1;0;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;1;;28;България;90;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ СУ  Цветан Радославов , ул. Черни връх №66;Свищов;749
042800025;34;1;30;27;9;12;4;6;1;1;3;2;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;;28;България;25;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ Сградата на СПГ  Алеко Константинов , ул. 3-ти март №74;Свищов;479
042800026;35;0;24;35;22;18;8;2;8;2;3;2;2;1;0;0;0;0;0;1;0;1;2;0;0;0;0;1;0;1;0;0;0;;28;България;26;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ Сградата на СПГ  Алеко Константинов , ул. 3-ти март №74;Свищов;566
042800089;54;3;15;31;14;14;7;2;1;2;0;2;3;2;3;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;;28;България;89;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ Сградата на СПГ  Алеко Константинов , ул. Трети март №74;Свищов;523
042800034;57;28;24;63;20;19;14;6;7;8;5;5;2;3;0;1;1;1;0;0;1;1;1;2;0;1;1;0;0;0;0;0;0;;28;България;34;04. ВЕЛИКО ТЪРНОВО;65766;гр.Свищов;гр. СВИЩОВ Студентско градче бл. 3;Свищов;1056
