sid,Нова Алтернатива,Демократическа Партия,НФСБ,Коалиция за България,Свобода и Достойнство,Нац.-Демократична Партия,Гражданска Листа - Модерна БГ,СДС,Либерален Алианс,Християн-Социален Съюз,Атака,ГЕРБ,РЗС,ВМРО - БНД,Демокр. Гражд. Инициатива,Християндем. партия,Средна Европейска Класа,Нац. Патриотично Обединение,Лидер,Зелените,ДСБ-БДФ,Социалдем. Партия,Другата България,Българската Левица,Кауза България,ДБГ,ДАНО,Българска Пролет,Горда България,Глас Народен,БЗНС,ДПС,Нац. Движение Единство,Партия на Бълг. Жени,Единна Народна Партия,Съюз на Комунистите,независими,npn,invalid,station_type,municipality,municipality_name,country_name,station,region_name,place,ekatte,address,eligible_voters
061000018,2,0.0,8,92,3,1,3,3,0,0.0,43,85,10,24,2.0,1.0,1.0,0.0,5,1.0,8,0.0,0.0,1,1,4,0,1.0,3,5,3.0,3,1.0,0.0,1,1.0,0.0,0.0,6.0,,10,Враца,България,018,ВРАЦА,гр.Враца,12259,-,597
061000019,1,1.0,19,106,1,0,3,1,0,2.0,30,94,3,20,1.0,0.0,0.0,1.0,1,1.0,11,0.0,0.0,0,1,22,2,0.0,2,4,4.0,7,0.0,1.0,0,0.0,0.0,0.0,8.0,,10,Враца,България,019,ВРАЦА,гр.Враца,12259,-,696
061000020,2,1.0,6,133,1,0,0,6,0,0.0,33,85,4,16,0.0,0.0,0.0,0.0,8,3.0,9,0.0,0.0,0,0,13,0,0.0,5,5,0.0,6,0.0,1.0,0,1.0,0.0,0.0,10.0,,10,Враца,България,020,ВРАЦА,гр.Враца,12259,-,723
061000021,2,1.0,24,129,11,1,0,15,4,0.0,39,160,8,21,5.0,0.0,0.0,0.0,6,2.0,23,0.0,0.0,0,0,32,0,1.0,1,7,0.0,6,0.0,1.0,0,1.0,0.0,0.0,8.0,,10,Враца,България,021,ВРАЦА,гр.Враца,12259,-,977
061000022,2,2.0,17,152,4,1,2,12,3,0.0,52,177,5,21,3.0,0.0,0.0,0.0,11,9.0,7,0.0,0.0,1,0,29,0,0.0,4,4,0.0,8,0.0,3.0,0,1.0,0.0,0.0,6.0,,10,Враца,България,022,ВРАЦА,гр.Враца,12259,-,1046
061000023,2,0.0,15,142,1,0,1,11,1,0.0,25,142,5,29,2.0,0.0,0.0,1.0,9,0.0,27,0.0,1.0,0,0,20,0,0.0,0,5,0.0,5,0.0,1.0,0,0.0,0.0,0.0,10.0,,10,Враца,България,023,ВРАЦА,гр.Враца,12259,-,882
061000024,7,3.0,26,184,5,0,1,12,2,1.0,48,148,8,35,6.0,0.0,0.0,0.0,17,5.0,22,1.0,1.0,0,1,28,0,2.0,1,11,0.0,18,0.0,1.0,0,2.0,0.0,0.0,16.0,,10,Враца,България,024,ВРАЦА,гр.Враца,12259,-,1072
061000025,0,2.0,11,130,3,0,0,2,5,0.0,15,88,9,15,5.0,1.0,0.0,0.0,9,5.0,5,0.0,0.0,2,0,10,0,0.0,0,7,1.0,7,0.0,1.0,0,0.0,0.0,0.0,8.0,,10,Враца,България,025,ВРАЦА,гр.Враца,12259,-,687
061000026,1,3.0,15,186,2,2,4,2,4,0.0,36,126,5,36,3.0,0.0,0.0,0.0,14,4.0,8,0.0,0.0,1,0,15,0,0.0,3,12,1.0,9,0.0,1.0,2,1.0,0.0,0.0,8.0,,10,Враца,България,026,ВРАЦА,гр.Враца,12259,-,945
061000027,2,0.0,11,171,1,1,3,10,3,0.0,45,128,5,18,7.0,0.0,0.0,0.0,4,9.0,16,1.0,0.0,0,0,25,0,1.0,0,7,0.0,5,0.0,0.0,0,1.0,0.0,0.0,4.0,,10,Враца,България,027,ВРАЦА,гр.Враца,12259,-,829
061000028,2,0.0,13,128,1,0,5,7,0,0.0,18,165,3,15,1.0,2.0,0.0,1.0,13,1.0,10,0.0,0.0,1,0,19,0,1.0,2,6,0.0,2,0.0,0.0,0,1.0,0.0,0.0,8.0,,10,Враца,България,028,ВРАЦА,гр.Враца,12259,-,802
061000029,1,0.0,17,129,4,0,1,7,1,1.0,23,80,6,25,5.0,0.0,0.0,0.0,2,2.0,18,1.0,1.0,2,0,27,0,2.0,0,2,1.0,3,0.0,2.0,2,1.0,0.0,0.0,6.0,,10,Враца,България,029,ВРАЦА,гр.Враца,12259,-,670
061000030,0,0.0,11,119,3,0,2,7,0,0.0,58,126,7,19,4.0,0.0,0.0,0.0,8,2.0,22,0.0,0.0,1,0,9,1,1.0,2,5,0.0,4,0.0,3.0,0,0.0,0.0,0.0,9.0,,10,Враца,България,030,ВРАЦА,гр.Враца,12259,-,788
061000031,5,0.0,15,122,1,0,1,6,0,0.0,31,99,1,22,5.0,0.0,0.0,2.0,11,3.0,0,0.0,0.0,1,0,17,0,0.0,1,4,0.0,4,0.0,0.0,0,2.0,0.0,0.0,5.0,,10,Враца,България,031,ВРАЦА,гр.Враца,12259,-,660
061000032,2,1.0,14,151,8,0,0,8,2,0.0,47,145,11,22,7.0,4.0,1.0,0.0,10,7.0,32,0.0,0.0,0,0,24,0,0.0,2,11,0.0,9,0.0,2.0,1,4.0,0.0,0.0,6.0,,10,Враца,България,032,ВРАЦА,гр.Враца,12259,-,1047
061000033,6,0.0,10,92,5,0,0,9,0,0.0,41,96,8,26,5.0,0.0,0.0,0.0,11,0.0,9,0.0,0.0,1,0,13,0,0.0,1,3,1.0,1,0.0,1.0,0,0.0,0.0,0.0,1.0,,10,Враца,България,033,ВРАЦА,гр.Враца,12259,-,638
061000034,3,2.0,18,149,7,0,2,9,0,0.0,62,146,4,15,3.0,1.0,0.0,1.0,6,4.0,18,0.0,1.0,1,0,25,0,0.0,4,10,1.0,6,0.0,1.0,1,6.0,0.0,0.0,9.0,,10,Враца,България,034,ВРАЦА,гр.Враца,12259,-,911
061000035,3,0.0,13,77,4,1,2,4,0,1.0,26,99,3,11,3.0,2.0,0.0,0.0,5,3.0,11,1.0,0.0,0,1,13,0,1.0,2,3,0.0,3,0.0,1.0,4,0.0,0.0,0.0,7.0,,10,Враца,България,035,ВРАЦА,гр.Враца,12259,-,643
061000036,0,0.0,13,123,7,0,1,4,0,0.0,40,107,3,20,1.0,0.0,0.0,0.0,4,4.0,12,1.0,0.0,0,0,17,0,1.0,3,10,2.0,10,0.0,2.0,0,1.0,0.0,0.0,4.0,,10,Враца,България,036,ВРАЦА,гр.Враца,12259,-,767
061000037,3,0.0,11,71,6,0,4,6,1,1.0,25,85,4,10,1.0,0.0,0.0,0.0,2,1.0,7,0.0,1.0,0,0,15,0,0.0,0,5,0.0,4,0.0,2.0,0,0.0,0.0,0.0,6.0,,10,Враца,България,037,ВРАЦА,гр.Враца,12259,-,510
061000038,4,0.0,13,87,0,0,1,4,1,0.0,18,91,4,8,0.0,0.0,0.0,0.0,4,0.0,4,0.0,1.0,0,0,12,0,0.0,1,10,0.0,7,0.0,0.0,0,3.0,0.0,0.0,4.0,,10,Враца,България,038,ВРАЦА,гр.Враца,12259,-,586
061000039,2,0.0,14,124,2,1,3,7,1,0.0,61,123,4,21,1.0,2.0,0.0,1.0,14,4.0,12,1.0,1.0,1,3,20,0,0.0,1,9,2.0,11,0.0,2.0,0,1.0,0.0,0.0,11.0,,10,Враца,България,039,ВРАЦА,гр.Враца,12259,-,991
061000040,0,0.0,6,86,1,1,1,2,1,0.0,32,116,4,13,1.0,1.0,0.0,0.0,13,1.0,6,0.0,0.0,0,0,14,0,0.0,7,6,0.0,6,0.0,1.0,1,1.0,0.0,0.0,6.0,,10,Враца,България,040,ВРАЦА,гр.Враца,12259,-,624
061000041,5,0.0,12,113,1,1,2,1,0,0.0,27,92,2,15,1.0,2.0,0.0,0.0,6,2.0,13,1.0,0.0,0,1,17,0,0.0,2,7,2.0,4,0.0,1.0,1,0.0,0.0,0.0,3.0,,10,Враца,България,041,ВРАЦА,гр.Враца,12259,-,632
061000042,3,0.0,17,144,0,1,0,8,0,0.0,24,118,3,14,3.0,1.0,0.0,0.0,15,9.0,11,1.0,0.0,3,0,16,0,2.0,3,5,3.0,15,0.0,1.0,0,8.0,0.0,0.0,7.0,,10,Враца,България,042,ВРАЦА,гр.Враца,12259,-,890
061000043,12,0.0,8,103,5,0,2,4,2,0.0,21,55,4,14,0.0,0.0,0.0,0.0,3,0.0,5,0.0,3.0,0,1,17,0,0.0,0,3,1.0,9,0.0,2.0,0,0.0,0.0,0.0,8.0,,10,Враца,България,043,ВРАЦА,гр.Враца,12259,-,562
061000044,9,1.0,19,111,6,4,3,0,0,0.0,44,99,3,12,4.0,0.0,0.0,0.0,9,1.0,6,0.0,0.0,0,0,18,0,2.0,3,0,0.0,7,1.0,2.0,1,2.0,0.0,0.0,11.0,,10,Враца,България,044,ВРАЦА,гр.Враца,12259,-,910
061000045,1,0.0,10,114,2,0,0,2,0,0.0,23,66,5,6,3.0,0.0,0.0,0.0,3,0.0,3,0.0,0.0,2,0,11,0,0.0,5,1,2.0,3,0.0,1.0,0,1.0,0.0,0.0,9.0,,10,Враца,България,045,ВРАЦА,гр.Враца,12259,-,543
061000046,4,0.0,13,139,5,0,0,1,0,0.0,50,123,3,23,0.0,0.0,0.0,0.0,10,0.0,6,1.0,1.0,0,3,15,0,0.0,5,0,1.0,15,0.0,3.0,1,1.0,0.0,0.0,11.0,,10,Враца,България,046,ВРАЦА,гр.Враца,12259,-,899
061000047,2,0.0,13,89,0,0,1,5,0,0.0,35,60,5,8,1.0,0.0,0.0,0.0,7,5.0,3,0.0,0.0,0,0,8,0,0.0,7,3,1.0,1,0.0,0.0,0,0.0,0.0,0.0,9.0,,10,Враца,България,047,ВРАЦА,гр.Враца,12259,-,532
061000048,3,0.0,5,62,2,1,3,5,0,0.0,26,47,2,15,0.0,0.0,0.0,0.0,7,2.0,10,1.0,0.0,0,0,19,0,0.0,1,3,3.0,0,0.0,0.0,0,0.0,0.0,0.0,5.0,,10,Враца,България,048,ВРАЦА,гр.Враца,12259,-,464
061000049,9,0.0,15,112,7,0,0,2,0,1.0,35,96,5,11,4.0,0.0,1.0,1.0,11,2.0,2,0.0,0.0,0,3,17,0,0.0,0,1,1.0,15,0.0,0.0,1,2.0,0.0,0.0,9.0,,10,Враца,България,049,ВРАЦА,гр.Враца,12259,-,813
061000050,1,0.0,4,89,2,0,1,3,0,0.0,26,59,2,17,1.0,1.0,0.0,0.0,14,1.0,3,0.0,1.0,0,0,9,0,1.0,1,6,0.0,1,0.0,0.0,1,0.0,0.0,0.0,2.0,,10,Враца,България,050,ВРАЦА,гр.Враца,12259,-,551
061000051,5,1.0,14,76,2,0,0,2,1,0.0,37,97,4,27,5.0,0.0,0.0,0.0,4,0.0,11,0.0,1.0,1,0,17,0,0.0,1,4,2.0,7,0.0,1.0,1,0.0,0.0,0.0,1.0,,10,Враца,България,051,ВРАЦА,гр.Враца,12259,-,634
061000052,7,0.0,13,76,0,0,0,1,0,0.0,24,60,1,15,4.0,0.0,0.0,0.0,8,1.0,9,0.0,0.0,0,0,4,0,0.0,2,1,0.0,5,0.0,1.0,1,0.0,0.0,0.0,2.0,,10,Враца,България,052,ВРАЦА,гр.Враца,12259,-,592
061000053,1,0.0,11,39,3,0,1,1,0,0.0,15,43,0,10,1.0,0.0,0.0,0.0,2,1.0,2,0.0,0.0,0,0,3,0,2.0,4,3,1.0,4,0.0,0.0,0,0.0,0.0,0.0,0.0,,10,Враца,България,053,ВРАЦА,гр.Враца,12259,-,450
061000054,8,1.0,11,148,3,0,2,4,1,0.0,46,97,5,18,0.0,4.0,1.0,0.0,17,2.0,13,0.0,0.0,0,0,9,0,0.0,8,10,0.0,7,0.0,0.0,5,1.0,0.0,0.0,9.0,,10,Враца,България,054,ВРАЦА,гр.Враца,12259,-,863
061000055,2,0.0,15,94,8,1,0,2,3,0.0,44,93,9,15,0.0,0.0,0.0,0.0,4,2.0,6,2.0,0.0,0,0,8,0,2.0,2,7,1.0,3,1.0,1.0,0,1.0,0.0,0.0,6.0,,10,Враца,България,055,ВРАЦА,гр.Враца,12259,-,726
061000056,4,1.0,18,92,7,1,5,3,0,0.0,49,70,8,5,1.0,2.0,0.0,0.0,17,1.0,9,0.0,0.0,1,0,15,0,0.0,2,7,0.0,2,0.0,1.0,4,2.0,0.0,0.0,8.0,,10,Враца,България,056,ВРАЦА,гр.Враца,12259,-,737
061000057,4,0.0,14,110,0,0,0,4,0,0.0,44,106,8,11,3.0,1.0,0.0,0.0,9,0.0,5,0.0,0.0,2,0,13,0,0.0,3,6,2.0,13,0.0,1.0,0,0.0,0.0,0.0,5.0,,10,Враца,България,057,ВРАЦА,гр.Враца,12259,-,735
061000058,10,0.0,13,100,4,0,1,2,0,0.0,42,78,3,16,2.0,1.0,0.0,0.0,9,1.0,1,0.0,0.0,0,0,5,0,0.0,3,3,0.0,5,1.0,1.0,0,0.0,0.0,0.0,9.0,,10,Враца,България,058,ВРАЦА,гр.Враца,12259,-,767
061000059,20,0.0,10,131,0,0,0,6,1,0.0,39,63,1,21,0.0,0.0,0.0,0.0,8,2.0,3,0.0,0.0,0,0,19,0,1.0,2,5,1.0,5,0.0,2.0,1,0.0,0.0,0.0,5.0,,10,Враца,България,059,ВРАЦА,гр.Враца,12259,-,715
061000060,2,0.0,15,104,2,0,0,1,0,0.0,59,76,3,5,1.0,1.0,0.0,0.0,8,1.0,2,1.0,0.0,1,0,9,0,0.0,4,4,1.0,9,0.0,1.0,2,1.0,0.0,0.0,4.0,,10,Враца,България,060,ВРАЦА,гр.Враца,12259,-,791
061000061,1,1.0,16,98,3,1,1,1,1,0.0,38,100,0,15,2.0,0.0,0.0,0.0,12,0.0,2,1.0,1.0,3,0,9,0,1.0,4,1,0.0,2,0.0,1.0,0,0.0,0.0,0.0,2.0,,10,Враца,България,061,ВРАЦА,гр.Враца,12259,-,708
061000062,2,1.0,6,81,1,0,0,2,0,1.0,44,78,4,15,4.0,0.0,0.0,0.0,2,0.0,9,0.0,0.0,1,0,12,0,0.0,2,4,0.0,15,0.0,2.0,0,0.0,0.0,0.0,4.0,,10,Враца,България,062,ВРАЦА,гр.Враца,12259,-,693
061000063,0,3.0,13,104,1,0,1,0,0,0.0,31,77,4,12,1.0,1.0,0.0,0.0,7,0.0,3,0.0,0.0,2,0,14,0,0.0,2,4,0.0,8,0.0,0.0,0,0.0,0.0,0.0,9.0,,10,Враца,България,063,ВРАЦА,гр.Враца,12259,-,649
061000064,4,0.0,15,88,1,0,2,5,1,0.0,53,86,7,18,1.0,2.0,0.0,0.0,8,0.0,5,0.0,0.0,0,0,10,0,0.0,0,6,0.0,6,0.0,1.0,0,2.0,0.0,0.0,8.0,,10,Враца,България,064,ВРАЦА,гр.Враца,12259,-,780
061000065,7,0.0,9,111,5,1,2,1,2,0.0,53,122,8,29,1.0,0.0,0.0,0.0,5,1.0,10,0.0,0.0,0,0,11,2,0.0,13,3,0.0,7,0.0,2.0,5,0.0,0.0,0.0,6.0,,10,Враца,България,065,ВРАЦА,гр.Враца,12259,-,984
061000066,2,0.0,18,105,5,0,1,0,2,0.0,50,106,3,20,5.0,0.0,0.0,0.0,14,0.0,4,0.0,0.0,1,1,7,0,0.0,5,3,0.0,2,0.0,1.0,1,0.0,0.0,0.0,6.0,,10,Враца,България,066,ВРАЦА,гр.Враца,12259,-,754
061000067,5,0.0,12,64,4,0,1,3,0,0.0,39,71,6,17,0.0,1.0,0.0,2.0,21,1.0,2,0.0,0.0,2,0,15,0,1.0,4,3,0.0,4,0.0,0.0,2,1.0,0.0,0.0,8.0,,10,Враца,България,067,ВРАЦА,гр.Враца,12259,-,635
061000068,8,0.0,23,96,1,0,0,7,0,0.0,48,93,7,24,3.0,1.0,0.0,1.0,5,1.0,8,1.0,0.0,1,1,18,0,0.0,7,4,1.0,9,0.0,3.0,0,1.0,0.0,0.0,9.0,,10,Враца,България,068,ВРАЦА,гр.Враца,12259,-,825
061000069,5,1.0,16,135,7,0,2,1,0,0.0,60,121,5,25,5.0,0.0,1.0,1.0,22,4.0,12,0.0,0.0,4,0,28,0,2.0,1,5,0.0,10,0.0,2.0,0,0.0,0.0,0.0,9.0,,10,Враца,България,069,ВРАЦА,гр.Враца,12259,-,1090
061000070,2,0.0,11,117,3,0,3,2,0,0.0,45,110,11,20,5.0,1.0,0.0,0.0,7,0.0,6,0.0,0.0,0,0,20,0,0.0,6,5,1.0,8,0.0,1.0,1,0.0,0.0,0.0,9.0,,10,Враца,България,070,ВРАЦА,гр.Враца,12259,-,837
061000071,2,0.0,16,85,0,0,0,1,0,0.0,39,69,5,8,1.0,0.0,1.0,0.0,2,1.0,6,0.0,1.0,1,0,6,0,0.0,7,2,3.0,10,0.0,1.0,0,0.0,0.0,0.0,5.0,,10,Враца,България,071,ВРАЦА,гр.Враца,12259,-,630
061000072,1,1.0,4,98,4,0,2,4,2,0.0,44,55,4,11,0.0,1.0,0.0,0.0,4,1.0,1,0.0,0.0,2,0,2,0,1.0,3,3,0.0,3,0.0,1.0,2,3.0,0.0,0.0,1.0,,10,Враца,България,072,ВРАЦА,гр.Враца,12259,-,645
061000073,6,0.0,9,77,0,0,1,0,0,0.0,27,60,4,8,0.0,0.0,0.0,0.0,3,3.0,3,0.0,0.0,0,0,7,1,1.0,4,5,1.0,18,0.0,2.0,1,1.0,0.0,0.0,5.0,,10,Враца,България,073,ВРАЦА,гр.Враца,12259,-,625
061000074,4,0.0,16,114,2,0,5,5,0,2.0,48,99,7,19,1.0,0.0,0.0,0.0,11,1.0,8,0.0,0.0,0,0,15,0,3.0,9,8,2.0,8,0.0,1.0,0,1.0,0.0,0.0,10.0,,10,Враца,България,074,ВРАЦА,гр.Враца,12259,-,989
061000075,7,0.0,12,88,5,0,0,0,0,0.0,37,66,8,4,0.0,0.0,0.0,0.0,11,1.0,3,0.0,1.0,0,0,11,1,0.0,1,3,1.0,2,0.0,2.0,0,2.0,0.0,0.0,6.0,,10,Враца,България,075,ВРАЦА,гр.Враца,12259,-,684
061000076,5,0.0,19,104,4,1,2,8,0,0.0,81,125,7,29,1.0,1.0,0.0,1.0,19,2.0,1,0.0,2.0,2,0,10,0,1.0,6,4,3.0,17,0.0,3.0,0,2.0,0.0,0.0,5.0,,10,Враца,България,076,ВРАЦА,гр.Враца,12259,-,1112
061000077,2,0.0,5,68,8,0,0,2,0,0.0,24,100,1,11,3.0,0.0,0.0,0.0,4,1.0,5,0.0,0.0,0,0,5,0,0.0,3,1,0.0,8,0.0,0.0,0,1.0,0.0,0.0,6.0,,10,Враца,България,077,ВРАЦА,гр.Враца,12259,-,673
061000078,16,0.0,22,153,3,0,2,6,2,0.0,41,128,8,19,0.0,0.0,0.0,0.0,59,1.0,9,0.0,0.0,1,0,16,0,0.0,11,0,1.0,16,0.0,0.0,0,2.0,0.0,0.0,9.0,,10,Враца,България,078,ВРАЦА,гр.Враца,12259,-,524
061000079,6,0.0,23,120,1,1,1,4,1,0.0,47,75,7,25,2.0,0.0,0.0,1.0,5,1.0,4,0.0,0.0,3,0,13,0,2.0,2,3,2.0,10,0.0,1.0,0,1.0,0.0,0.0,13.0,,10,Враца,България,079,ВРАЦА,гр.Враца,12259,-,865
061000080,0,0.0,6,77,3,0,0,3,3,0.0,31,58,4,9,1.0,0.0,0.0,0.0,3,0.0,4,0.0,1.0,0,0,9,0,1.0,2,4,0.0,14,0.0,0.0,0,1.0,0.0,0.0,6.0,,10,Враца,България,080,ВРАЦА,гр.Враца,12259,-,552
061000081,2,0.0,21,97,3,1,1,9,0,0.0,32,52,2,8,0.0,0.0,0.0,0.0,16,3.0,6,2.0,0.0,1,0,4,0,1.0,2,0,4.0,17,0.0,0.0,0,1.0,0.0,0.0,4.0,,10,Враца,България,081,ВРАЦА,с.Челопек,80311,-,451
061000082,0,0.0,12,95,0,1,0,3,3,0.0,55,108,4,18,1.0,0.0,0.0,1.0,1,1.0,4,0.0,0.0,1,1,8,0,0.0,3,4,0.0,4,0.0,2.0,0,1.0,0.0,0.0,6.0,,10,Враца,България,082,ВРАЦА,с.Паволче,55070,-,634
061000083,4,1.0,28,112,6,1,1,2,0,0.0,29,68,7,6,2.0,0.0,0.0,0.0,16,0.0,8,0.0,0.0,2,0,3,0,0.0,12,2,0.0,45,0.0,1.0,0,2.0,0.0,0.0,10.0,,10,Враца,България,083,ВРАЦА,с.Костелево,38875,-,689
061000084,0,0.0,6,42,0,2,0,4,0,0.0,8,28,1,4,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0,0,2,0,0.0,3,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7.0,,10,Враца,България,084,ВРАЦА,с.Веслец,10789,-,149
061000085,0,0.0,5,89,1,0,0,3,0,0.0,9,42,4,5,0.0,0.0,0.0,0.0,8,0.0,4,0.0,0.0,0,0,10,0,0.0,2,0,1.0,2,0.0,0.0,0,0.0,0.0,0.0,1.0,,10,Враца,България,085,ВРАЦА,с.Горно Пещене,16897,-,328
061000086,6,0.0,10,98,2,0,0,3,0,0.0,12,83,1,1,0.0,0.0,0.0,0.0,7,0.0,5,1.0,0.0,0,0,14,0,0.0,4,0,0.0,16,0.0,0.0,0,1.0,0.0,0.0,10.0,,10,Враца,България,086,ВРАЦА,с.Тишевица,72504,-,441
061000087,2,0.0,12,101,2,0,0,0,0,0.0,1,37,0,2,0.0,0.0,1.0,0.0,5,0.0,1,0.0,0.0,0,0,2,0,0.0,0,0,0.0,9,0.0,0.0,0,1.0,0.0,0.0,1.0,,10,Враца,България,087,ВРАЦА,с.Вировско,11185,-,240
061000088,2,0.0,8,137,2,0,0,1,0,1.0,22,102,9,3,2.0,1.0,0.0,2.0,4,0.0,5,0.0,0.0,0,0,7,0,0.0,2,3,1.0,41,0.0,0.0,0,7.0,0.0,0.0,19.0,,10,Враца,България,088,ВРАЦА,с.Мраморен,49223,-,923
061000089,0,0.0,7,63,1,0,0,0,2,0.0,11,132,3,1,1.0,1.0,0.0,1.0,1,1.0,0,1.0,0.0,0,1,2,0,0.0,0,0,0.0,80,1.0,0.0,0,2.0,0.0,0.0,13.0,,10,Враца,България,089,ВРАЦА,с.Голямо Пещене,15521,-,445
061000090,1,0.0,2,97,0,0,0,4,0,0.0,13,28,2,4,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,0,0,3,0,3.0,0,1,0.0,28,0.0,0.0,0,0.0,0.0,0.0,8.0,,10,Враца,България,090,ВРАЦА,с.Баница,2590,-,550
061000091,3,0.0,11,103,0,0,0,1,0,0.0,33,47,4,1,0.0,0.0,0.0,0.0,4,1.0,3,0.0,0.0,1,0,6,0,0.0,5,0,1.0,9,0.0,0.0,0,1.0,0.0,0.0,10.0,,10,Враца,България,091,ВРАЦА,с.Баница,2590,-,474
061000092,0,0.0,2,8,2,0,0,0,0,0.0,5,11,0,1,0.0,0.0,0.0,0.0,0,10.0,0,0.0,1.0,0,0,0,0,0.0,0,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,,10,Враца,България,092,ВРАЦА,с.Мало Пещене,46807,-,50
061000093,3,0.0,8,57,0,0,1,1,0,0.0,5,40,1,15,0.0,0.0,0.0,0.0,2,0.0,2,1.0,0.0,0,0,2,0,0.0,2,0,0.0,22,0.0,0.0,0,1.0,0.0,0.0,3.0,,10,Враца,България,093,ВРАЦА,с.Оходен,54482,-,239
061000094,1,0.0,17,105,4,0,2,2,0,0.0,35,114,7,18,0.0,0.0,0.0,0.0,12,1.0,2,0.0,0.0,0,0,10,0,0.0,4,1,2.0,21,0.0,2.0,0,1.0,0.0,0.0,7.0,,10,Враца,България,094,ВРАЦА,с.Згориград,30606,-,699
061000095,4,0.0,23,100,4,1,4,4,0,0.0,43,148,5,11,0.0,0.0,0.0,0.0,8,0.0,17,0.0,0.0,0,0,4,0,0.0,13,4,0.0,46,0.0,0.0,0,1.0,0.0,0.0,13.0,,10,Враца,България,095,ВРАЦА,с.Згориград,30606,-,820
061000096,0,0.0,10,89,1,0,1,0,0,0.0,6,41,1,3,0.0,5.0,0.0,0.0,9,0.0,14,0.0,0.0,0,0,0,0,0.0,4,2,0.0,2,0.0,0.0,0,0.0,0.0,0.0,16.0,,10,Враца,България,096,ВРАЦА,с.Нефела,51528,-,451
061000097,6,0.0,16,72,2,0,0,3,0,0.0,12,58,4,6,1.0,0.0,0.0,0.0,4,0.0,1,0.0,0.0,2,0,1,1,0.0,6,1,1.0,70,1.0,0.0,0,28.0,0.0,0.0,10.0,,10,Враца,България,097,ВРАЦА,с.Бели извор,3438,-,603
061000098,0,0.0,7,59,5,0,0,1,0,0.0,11,35,4,7,0.0,0.0,0.0,0.0,11,0.0,2,1.0,0.0,0,0,2,0,0.0,21,0,0.0,23,0.0,0.0,0,0.0,0.0,0.0,3.0,,10,Враца,България,098,ВРАЦА,с.Власатица,11555,-,316
061000099,1,1.0,13,94,4,1,0,2,0,0.0,15,54,5,2,0.0,1.0,0.0,0.0,11,0.0,1,0.0,0.0,0,0,1,0,0.0,2,1,0.0,56,0.0,0.0,0,0.0,0.0,0.0,8.0,,10,Враца,България,099,ВРАЦА,с.Лиляче,43712,-,704
061000100,0,0.0,15,55,1,0,1,0,0,0.0,7,24,2,6,0.0,0.0,0.0,0.0,4,0.0,3,0.0,0.0,0,0,2,0,0.0,0,1,0.0,51,0.0,0.0,2,0.0,0.0,0.0,13.0,,10,Враца,България,100,ВРАЦА,с.Лиляче,43712,-,605
061000101,4,1.0,33,118,3,0,0,1,0,0.0,31,85,6,11,0.0,0.0,0.0,0.0,9,0.0,2,1.0,1.0,2,0,6,0,0.0,14,0,0.0,8,0.0,0.0,0,2.0,0.0,0.0,11.0,,10,Враца,България,101,ВРАЦА,с.Чирен,81400,-,690
061000102,2,0.0,25,195,3,1,1,2,0,0.0,28,96,7,5,0.0,1.0,0.0,1.0,5,1.0,12,2.0,0.0,0,0,3,0,0.0,1,2,1.0,26,0.0,0.0,0,3.0,0.0,0.0,18.0,,10,Враца,България,102,ВРАЦА,с.Девене,20376,-,881
061000103,3,0.0,12,163,3,0,0,3,0,0.0,5,29,1,12,0.0,0.0,0.0,2.0,10,0.0,6,0.0,0.0,0,0,4,0,0.0,5,1,0.0,34,0.0,0.0,0,2.0,0.0,0.0,15.0,,10,Враца,България,103,ВРАЦА,с.Три кладенци,73119,-,637
061000104,0,0.0,8,30,0,1,0,0,0,0.0,1,11,0,2,0.0,0.0,0.0,0.0,15,0.0,1,0.0,0.0,0,0,1,0,0.0,0,0,0.0,3,0.0,0.0,0,1.0,0.0,0.0,2.0,,10,Враца,България,104,ВРАЦА,с.Лютаджик,44728,-,123
061000105,0,0.0,9,124,1,0,0,0,0,0.0,4,18,2,1,0.0,0.0,0.0,0.0,31,0.0,4,0.0,0.0,0,0,3,0,0.0,4,0,1.0,1,0.0,0.0,0,0.0,0.0,0.0,5.0,,10,Враца,България,105,ВРАЦА,с.Върбица,12749,-,356
061000106,0,0.0,0,23,0,1,1,0,1,0.0,2,5,2,1,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,1,0,1,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6.0,,10,Враца,България,106,ВРАЦА,гр.Враца,12259,-,48
061000107,0,0.0,1,20,0,0,2,2,0,0.0,0,17,0,5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,2.0,,10,Враца,България,107,ВРАЦА,гр.Враца,12259,-,124
061000108,0,0.0,0,4,1,0,0,1,0,0.0,1,4,3,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,23,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,,10,Враца,България,108,ВРАЦА,гр.Враца,12259,-,33
