sid,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_tot,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_tot,npn,invalid,region,municipality,admin_reg,station,region_name,municipality_name,place,ekatte,address,eligible_voters
224614032,59,63,3,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",728
224614042,62,39,1,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",800
224614044,39,27,1,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",662
224614068,37,26,5,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",636
224614024,41,41,3,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",630
224614035,53,40,4,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",717
224614019,156,61,5,9,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",975
224614040,63,100,1,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",815
224614005,48,53,2,3,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",806
224614052,28,43,0,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",615
224614027,49,52,4,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",724
224614048,37,81,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",762
224614009,28,29,0,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",657
224614003,49,45,3,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",707
224614016,73,47,2,7,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",786
224614043,49,42,4,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",698
224614050,54,41,4,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",734
224614012,29,46,1,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",712
224614056,19,58,0,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",592
224614055,18,72,2,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",626
224614022,42,54,2,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",713
224614034,63,47,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",674
224614023,49,51,4,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",662
224614073,35,9,4,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",700
