sid,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,npn,invalid,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,region,municipality,admin_reg,station,municipality_name,region_name,ekatte,place,address,eligible_voters
010100012,99.0,1.0,28.0,19.0,24.0,22.0,5.0,15.0,11,6.0,4.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,01,01,00,012,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  №9Б",639
010100013,115.0,2.0,39.0,47.0,18.0,21.0,9.0,16.0,15,9.0,4.0,2.0,5.0,4.0,2.0,4.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,01,00,013,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",864
010100014,69.0,1.0,32.0,25.0,16.0,11.0,7.0,13.0,10,4.0,6.0,13.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,01,00,014,Банско,01. БЛАГОЕВГРАД,21498,гр.Добринище,"гр. ДОБРИНИЩЕ ЧИТАЛИЩЕ  ДИМИТЪР БЛАГОЕВ , ПЛ.  НЕЗАВИСИМОСТ  №2",640
010100015,104.0,3.0,13.0,23.0,17.0,10.0,9.0,7.0,8,9.0,0.0,10.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,015,Банско,01. БЛАГОЕВГРАД,21498,гр.Добринище,"гр. ДОБРИНИЩЕ ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21",611
010100016,40.0,1.0,18.0,16.0,40.0,7.0,6.0,6.0,5,0.0,0.0,13.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,016,Банско,01. БЛАГОЕВГРАД,21498,гр.Добринище,"гр. ДОБРИНИЩЕ ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21",434
010100017,89.0,1.0,33.0,23.0,6.0,8.0,6.0,9.0,9,10.0,3.0,38.0,3.0,6.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,017,Банско,01. БЛАГОЕВГРАД,21498,гр.Добринище,"гр. ДОБРИНИЩЕ КЛУБ НА ПЕНСИОНЕРА, УЛ.  ТЪРГОВСКА  №16",574
010100018,7.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,018,Банско,01. БЛАГОЕВГРАД,17381,с.Гостун,с. ГОСТУН КЛУБ НА ПЕНСИОНЕРА,25
010100019,7.0,0.0,2.0,3.0,12.0,2.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,019,Банско,01. БЛАГОЕВГРАД,54136,с.Осеново,с. ОСЕНОВО КЛУБ НА ПЕНСИОНЕРА,38
010100020,17.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3,0.0,5.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,020,Банско,01. БЛАГОЕВГРАД,53059,с.Обидим,с. ОБИДИМ КЛУБ НА ПЕНСИОНЕРА,72
010100021,20.0,1.0,7.0,3.0,10.0,3.0,1.0,0.0,10,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,021,Банско,01. БЛАГОЕВГРАД,39614,с.Кремен,с. КРЕМЕН КЛУБ НА ПЕНСИОНЕРА,130
