sid,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ДПС-Доган,ИТН,МЕЧ,ВЕЛИЧИЕ,npn,invalid,СИНЯ БЪЛГАРИЯ,БВ,РУСОФИЛИ ЗА БГ,ПРЯКА ДЕМОКРАЦИЯ,ГЛАС НАРОДЕН,"РБ, ССД и ЗС",ЗЕЛЕНИТЕ,АТАКА,МОЯ СТРАНА БЪЛГАРИЯ,НП ИСИ,ПРАВОТО,ДОСТ,БНС-НД,КОЙ,Чавдар Попов (нез.),Булгари,БСДД,СПБП,БТР,БРИГАДА,region,municipality,admin_reg,station,municipality_name,region_name,ekatte,place,address,eligible_voters
010100001,117.0,45.0,46.0,1.0,33.0,0.0,17.0,10.0,11.0,16.0,6,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,001,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, СОУ  НЕОФИТ РИЛСКИ , УЛ. ТОДОР АЛЕКСАНДРОВ  №9Б",625
010100005,131.0,34.0,29.0,3.0,14.0,2.0,6.0,4.0,10.0,9.0,4,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,005,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, ЧИТАЛИЩЕ  НИКОЛА ВАПЦАРОВ , ПЛ.  НИКОЛА ВАПЦАРОВ  №14",478
010100017,127.0,24.0,29.0,4.0,31.0,0.0,8.0,7.0,10.0,3.0,5,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,01,00,017,Банско,01. БЛАГОЕВГРАД,21498,гр.Добринище,"ГР.ДОБРИНИЩЕ, КЛУБ НА ПЕНСИОНЕРА, УЛ.  ТЪРГОВСКА  № 16",593
010100015,151.0,30.0,19.0,5.0,18.0,0.0,8.0,11.0,9.0,11.0,8,3.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,015,Банско,01. БЛАГОЕВГРАД,21498,гр.Добринище,"ГР.ДОБРИНИЩЕ, ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21",614
010100016,84.0,20.0,17.0,1.0,56.0,1.0,3.0,5.0,5.0,8.0,2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,016,Банско,01. БЛАГОЕВГРАД,21498,гр.Добринище,"ГР.ДОБРИНИЩЕ, ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21",442
010100014,136.0,55.0,25.0,8.0,39.0,0.0,6.0,9.0,6.0,9.0,5,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,014,Банско,01. БЛАГОЕВГРАД,21498,гр.Добринище,"ГР.ДОБРИНИЩЕ, ЧИТАЛИЩЕ  ДИМИТЪР БЛАГОЕВ  , ПЛ.  НЕЗАВИСИМОСТ  № 2",643
010100018,14.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,018,Банско,01. БЛАГОЕВГРАД,17381,с.Гостун,"С.ГОСТУН, КЛУБ НА ПЕНСИОНЕРА",24
010100021,33.0,9.0,4.0,0.0,12.0,0.0,4.0,1.0,1.0,0.0,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,021,Банско,01. БЛАГОЕВГРАД,39614,с.Кремен,"С.КРЕМЕН, КЛУБ НА ПЕНСИОНЕРА",129
010100022,60.0,5.0,11.0,0.0,12.0,0.0,6.0,3.0,1.0,4.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,022,Банско,01. БЛАГОЕВГРАД,47857,с.Места,"С.МЕСТА, КЛУБ НА ПЕНСИОНЕРА",187
010100020,25.0,4.0,4.0,1.0,11.0,0.0,1.0,1.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,020,Банско,01. БЛАГОЕВГРАД,53059,с.Обидим,"С.ОБИДИМ, КЛУБ НА ПЕНСИОНЕРА",71
