sid,eligible_voters,added_voters,signatures,paper_ballots,invalid,npn_p,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_p,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_p,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_p,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_p,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_p,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_p,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_p,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_p,machine_ballots,npn_m,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_m,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_m,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_m,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_m,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_m,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_m,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_m,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_m,total_parties_m,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_tot,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_tot,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_tot,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_tot,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_tot,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_tot,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_tot,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_tot,address
224614006,770,2,71,34,2,0,0,2,4,4,1,0,6,15,37,2,0,0,22,6,0,0,5,2,35,0,2,26,10,1,0,11,17,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614062,869,3,81,25,1,0,0,4,5,1,0,2,2,10,56,2,0,1,32,6,0,0,7,8,54,0,5,37,7,0,2,9,18,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36"
224614078,657,0,98,53,0,1,0,4,19,7,0,1,12,9,45,1,0,0,26,2,0,1,9,6,44,0,4,45,9,0,2,21,15,"С. БУСМАНЦИ, 65 ОУ ""Св. Св. Кирил и Методий"", с. Бусманци, ул. ""Просвета"" №16"
224614008,690,2,95,47,0,0,0,1,3,12,0,2,19,10,48,0,0,0,24,6,0,0,9,9,48,0,1,27,18,0,2,28,19,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614059,901,4,110,37,0,2,0,1,5,3,0,6,3,17,73,0,0,2,42,4,0,7,11,7,73,0,3,47,7,0,13,14,24,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36"
224614046,690,1,84,38,1,2,0,3,3,4,0,1,4,20,46,0,0,4,18,7,0,3,4,10,46,0,7,21,11,0,4,8,30,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
224614037,725,1,91,36,0,1,0,1,3,4,0,0,8,19,55,1,0,1,18,7,0,0,11,17,54,0,2,21,11,0,0,19,36,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614026,727,4,85,29,0,0,0,0,7,4,1,1,4,12,56,0,0,4,35,5,0,1,6,5,56,0,4,42,9,1,2,10,17,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
224614004,774,2,92,31,0,0,0,2,5,5,1,0,10,8,61,1,0,2,34,5,0,1,8,10,60,0,4,39,10,1,1,18,18,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614011,604,4,67,27,1,0,0,0,9,3,0,1,3,10,40,0,0,1,22,3,0,0,7,7,40,0,1,31,6,0,1,10,17,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4"
224614031,901,10,133,44,0,0,0,4,8,1,0,1,9,21,89,1,0,1,54,5,1,0,18,9,88,0,5,62,6,1,1,27,30,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614028,618,0,73,17,0,0,0,3,3,0,0,0,4,7,56,0,0,0,31,5,0,1,10,9,56,0,3,34,5,0,1,14,16,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
224614058,810,3,94,39,0,0,0,3,7,6,0,1,5,17,55,0,0,2,37,6,0,0,2,8,55,0,5,44,12,0,1,7,25,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36"
224614025,610,0,96,49,0,0,0,1,13,4,0,0,12,19,47,1,0,1,17,4,0,0,17,7,46,0,2,30,8,0,0,29,26,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
224614065,667,0,65,29,0,0,0,0,6,7,0,2,1,13,36,0,0,3,22,7,0,0,0,4,36,0,3,28,14,0,2,1,17,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
224614076,742,2,87,58,1,1,0,4,4,1,1,0,9,37,29,1,0,0,11,4,0,0,8,5,28,0,4,15,5,1,0,17,42,"ГР. СОФИЯ, 65 ОУ ""Св. Св. Кирил и Методий"", с. Бусманци, ул. ""Просвета"" №16"
224614069,638,4,64,26,0,0,0,2,4,7,1,1,3,8,38,1,0,3,18,8,0,0,5,3,37,0,5,22,15,1,1,8,11,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
224614029,685,2,58,25,0,0,1,6,6,4,0,1,5,2,33,0,0,5,14,4,0,0,4,6,33,1,11,20,8,0,1,9,8,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
224614032,727,1,119,48,0,0,0,4,11,0,0,0,8,25,71,0,0,2,34,7,0,0,14,14,71,0,6,45,7,0,0,22,39,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614042,800,2,64,23,0,0,0,1,7,3,0,0,1,11,41,0,0,7,26,0,0,0,2,6,41,0,8,33,3,0,0,3,17,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614044,678,4,75,20,1,0,0,2,2,5,0,0,4,6,55,0,0,3,23,14,0,0,3,12,55,0,5,25,19,0,0,7,18,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
