,sid,Движение 21 result,Движение 21 result invalid,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ result,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ result invalid,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД result,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД result invalid,ПП НОВОТО ВРЕМЕ result,ПП НОВОТО ВРЕМЕ result invalid,ОБЕДИНЕНА БЪЛГАРИЯ result,ОБЕДИНЕНА БЪЛГАРИЯ result invalid,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ result,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ result invalid,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС result","РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС result invalid",ПП Нова България result,ПП Нова България result invalid,ПП ГЕРБ result,ПП ГЕРБ result invalid,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ result,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ result invalid,АТАКА result,АТАКА result invalid,НДСВ result,НДСВ result invalid,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА result,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА result invalid,Коалиция АБВ – (Алтернатива за българско възраждане) result,Коалиция АБВ – (Алтернатива за българско възраждане) result invalid,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ result,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ result invalid,НОВА АЛТЕРНАТИВА result,НОВА АЛТЕРНАТИВА result invalid,КП ДЕСНИТЕ result,КП ДЕСНИТЕ result invalid,ДПС – Движение за права и свободи result,ДПС – Движение за права и свободи result invalid,ПП Глас Народен result,ПП Глас Народен result invalid,ПАРТИЯ НА ЗЕЛЕНИТЕ result,ПАРТИЯ НА ЗЕЛЕНИТЕ result invalid,НОВА СИЛА result,НОВА СИЛА result invalid,БСП лява България result,БСП лява България result invalid,ЗЕЛЕНИТЕ result,ЗЕЛЕНИТЕ result invalid,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО result,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО result invalid,РЕПУБЛИКА БГ result,РЕПУБЛИКА БГ result invalid,независими result,независими result invalid
39,010300003,6,0,1,0,0,0,2,0,5,0,0,0,47,0,1,0,163,0,0.0,0.0,23,0,0,0,21,0,17,0,0,0,0,0,0,0,1,0,5,0,2,0,0.0,0.0,54,0,1,0,17,0,2,0,1.0,0.0
40,010300004,4,0,1,0,1,0,6,0,7,0,1,0,42,0,0,0,164,7,0.0,0.0,20,2,4,0,20,1,14,0,3,0,1,0,0,0,2,0,8,0,3,0,1.0,0.0,45,3,1,0,21,0,9,0,2.0,0.0
41,010300005,5,0,0,0,0,0,1,0,16,0,2,0,38,1,0,0,145,1,0.0,0.0,34,0,0,0,27,0,15,0,1,0,0,0,2,0,3,0,3,0,1,0,0.0,0.0,57,0,2,0,25,1,4,0,0.0,0.0
42,010300006,5,0,4,0,0,0,3,0,3,0,1,0,14,0,2,0,109,4,2.0,0.0,24,0,1,0,21,0,19,0,0,0,2,1,0,0,3,0,1,0,5,0,0.0,0.0,54,2,2,0,20,0,0,0,1.0,0.0
43,010300007,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,55,0,0.0,0.0,9,0,1,1,6,0,5,0,0,0,0,0,0,0,1,0,1,0,2,1,2.0,0.0,91,2,2,0,5,0,2,0,1.0,0.0
44,010300008,8,0,6,0,2,0,0,0,2,1,0,0,29,0,1,0,118,4,0.0,0.0,13,0,0,0,12,0,16,0,4,0,0,0,0,0,1,0,4,0,4,0,0.0,0.0,65,1,0,0,24,1,4,0,1.0,0.0
45,010300009,1,1,3,1,0,0,0,0,2,0,0,0,12,5,0,0,78,10,0.0,0.0,11,7,0,0,16,3,54,4,1,0,0,0,0,0,5,0,3,0,0,0,1.0,0.0,38,0,0,0,21,0,7,0,2.0,0.0
46,010300010,7,0,5,0,0,0,1,0,2,0,0,0,14,0,2,0,92,2,1.0,0.0,10,0,4,0,19,1,22,0,1,0,0,0,0,0,2,0,3,0,2,0,0.0,0.0,65,2,0,0,13,0,7,1,1.0,0.0
47,010300011,9,0,1,0,0,0,2,0,7,0,0,0,22,0,0,0,129,0,0.0,0.0,13,1,0,0,7,0,14,0,3,0,7,0,2,0,1,0,3,0,1,0,0.0,0.0,57,0,5,0,16,0,2,0,1.0,0.0
48,010300012,8,0,3,0,0,0,0,0,1,0,0,0,31,1,1,0,176,0,1.0,0.0,7,1,2,0,19,0,21,0,1,0,4,0,1,0,5,0,2,0,0,0,3.0,0.0,47,2,4,0,19,0,10,0,1.0,0.0
49,010300013,5,0,0,0,0,0,1,0,3,0,0,0,32,0,0,0,131,1,0.0,0.0,15,1,1,0,31,0,10,0,0,0,1,0,0,0,4,0,9,0,0,0,0.0,0.0,46,1,0,0,24,0,4,0,1.0,0.0
50,010300014,5,0,0,0,0,0,0,0,2,0,0,0,64,0,2,0,150,0,0.0,0.0,19,0,0,0,11,0,23,0,0,0,5,0,2,0,8,0,5,0,5,0,0.0,0.0,48,0,5,0,37,0,7,0,3.0,0.0
51,010300015,3,0,1,0,1,0,1,0,2,0,0,0,30,1,0,0,149,2,0.0,0.0,15,0,3,0,27,0,12,0,0,0,0,0,3,0,1,0,3,0,4,0,0.0,0.0,42,0,0,0,23,0,3,0,1.0,0.0
52,010300016,5,0,0,0,0,0,0,0,1,0,1,0,59,0,0,0,129,0,0.0,0.0,13,1,0,0,14,0,13,0,0,0,1,0,0,0,1,0,6,0,1,0,0.0,0.0,64,0,3,0,17,0,1,0,2.0,1.0
53,010300017,11,0,1,0,0,0,0,0,0,0,1,0,47,4,4,0,112,4,1.0,0.0,10,2,1,0,6,0,16,1,1,0,0,0,3,0,1,0,8,0,0,0,0.0,0.0,32,0,0,0,16,0,1,0,2.0,0.0
54,010300018,11,0,1,0,1,0,0,0,3,0,1,0,39,0,0,0,143,1,0.0,0.0,17,1,0,0,16,0,26,0,2,0,0,0,3,0,3,0,6,0,1,0,0.0,0.0,40,0,3,0,16,0,5,0,1.0,0.0
55,010300019,6,0,1,0,0,0,2,0,3,0,2,0,60,0,1,0,156,2,0.0,0.0,21,0,1,0,15,0,24,0,2,0,1,0,0,0,3,0,4,0,1,0,1.0,0.0,69,0,0,0,28,0,7,0,5.0,0.0
56,010300020,2,0,0,0,0,0,0,0,1,0,0,0,83,0,3,0,137,2,0.0,0.0,8,0,0,0,13,0,20,0,1,0,0,0,2,0,2,0,2,0,1,0,0.0,0.0,67,0,2,0,7,0,2,0,3.0,0.0
57,010300021,11,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,157,3,0.0,0.0,19,0,0,0,14,0,22,1,0,0,2,0,1,0,1,0,4,0,1,0,1.0,0.0,70,1,0,0,24,0,2,0,2.0,0.0
58,010300022,4,0,1,0,0,0,0,0,5,0,0,0,31,1,3,0,172,0,0.0,0.0,16,0,2,0,18,0,15,0,3,0,7,0,3,0,3,0,3,0,2,0,1.0,0.0,58,0,0,0,22,0,2,0,2.0,0.0
59,010300023,1,0,0,0,1,0,0,0,0,0,0,0,14,0,3,0,83,0,0.0,0.0,15,0,0,0,3,0,6,0,1,0,2,0,0,0,0,0,2,0,0,0,0.0,0.0,21,0,0,0,33,0,0,0,2.0,0.0
60,010300024,1,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,133,0,0.0,0.0,6,0,2,0,9,0,7,0,0,0,0,0,0,0,2,0,4,0,1,0,0.0,0.0,33,0,2,0,22,0,4,0,0.0,0.0
