,sid,Движение 21 result,Движение 21 result invalid,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ result,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ result invalid,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД result,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД result invalid,ПП НОВОТО ВРЕМЕ result,ПП НОВОТО ВРЕМЕ result invalid,ОБЕДИНЕНА БЪЛГАРИЯ result,ОБЕДИНЕНА БЪЛГАРИЯ result invalid,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ result,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ result invalid,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС result","РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС result invalid",ПП Нова България result,ПП Нова България result invalid,ПП ГЕРБ result,ПП ГЕРБ result invalid,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ result,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ result invalid,АТАКА result,АТАКА result invalid,НДСВ result,НДСВ result invalid,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА result,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА result invalid,Коалиция АБВ – (Алтернатива за българско възраждане) result,Коалиция АБВ – (Алтернатива за българско възраждане) result invalid,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ result,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ result invalid,НОВА АЛТЕРНАТИВА result,НОВА АЛТЕРНАТИВА result invalid,КП ДЕСНИТЕ result,КП ДЕСНИТЕ result invalid,ДПС – Движение за права и свободи result,ДПС – Движение за права и свободи result invalid,ПП Глас Народен result,ПП Глас Народен result invalid,ПАРТИЯ НА ЗЕЛЕНИТЕ result,ПАРТИЯ НА ЗЕЛЕНИТЕ result invalid,НОВА СИЛА result,НОВА СИЛА result invalid,БСП лява България result,БСП лява България result invalid,ЗЕЛЕНИТЕ result,ЗЕЛЕНИТЕ result invalid,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО result,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО result invalid,РЕПУБЛИКА БГ result,РЕПУБЛИКА БГ result invalid,независими result,независими result invalid
1087,021700023,14,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,108,0,1.0,0.0,4,0,0,0,12,0,12,0,0,0,1,0,0,0,1,0,1,0,0,0,1.0,0.0,25,0,0,0,48,0,0,0,2.0,0.0
1088,021700024,0,0,0,0,0,0,0,0,1,0,0,0,38,0,8,0,160,1,0.0,0.0,12,0,0,0,11,0,19,0,0,0,4,0,3,0,4,0,2,0,2,0,1.0,0.0,27,1,0,0,41,0,0,0,0.0,0.0
1089,021700025,4,0,1,0,0,0,1,0,4,0,1,0,42,0,0,0,161,0,0.0,0.0,7,0,1,0,20,0,14,0,1,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,44,0,0,0,94,0,0,0,0.0,0.0
1090,021700026,1,0,1,0,1,0,1,0,2,0,0,0,28,0,1,0,128,0,0.0,0.0,7,0,0,0,9,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,22,3,1,0,54,0,0,0,0.0,0.0
1091,021700027,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,53,0,1.0,0.0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.0,17,0,0,0,12,0,0,0,0.0,0.0
1092,021700028,2,0,2,0,0,1,0,0,1,0,0,0,24,0,2,0,118,3,0.0,0.0,1,0,0,0,16,0,15,0,1,0,0,0,0,0,0,0,1,0,2,0,0.0,0.0,23,2,0,0,62,0,0,0,0.0,0.0
1093,021700029,4,0,3,0,0,0,0,0,1,0,0,0,24,0,2,0,161,0,0.0,0.0,6,0,0,0,18,0,6,0,1,0,0,0,0,0,3,0,2,0,1,0,2.0,0.0,42,0,2,0,107,0,1,0,3.0,0.0
1094,021700030,0,0,0,0,0,0,0,0,1,0,0,0,14,0,2,0,79,3,0.0,0.0,9,1,1,0,8,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,25,0,1,0,62,0,1,0,1.0,0.0
1095,021700031,0,0,1,0,1,0,0,0,0,0,2,0,17,0,0,0,89,0,2.0,0.0,7,0,2,0,9,0,13,0,1,0,0,0,0,21,5,0,0,0,0,0,1.0,0.0,32,0,0,0,68,0,0,0,1.0,0.0
1096,021700032,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0.0,0.0,1,0,1,0,69,0,1,0,0,0,0,0,1,0,161,0,0,0,0,0,0.0,0.0,7,0,1,0,0,0,0,0,1.0,0.0
1097,021700033,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,85,0,0.0,0.0,2,0,4,0,10,0,8,0,2,0,1,0,0,0,1,0,3,0,0,0,0.0,0.0,24,0,0,0,62,0,0,0,1.0,0.0
1098,021700034,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,52,0,0.0,0.0,1,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6,0,1,0,24,0,0,0,0.0,0.0
1099,021700035,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,21,0,0.0,0.0,3,1,2,0,46,0,2,1,0,0,1,0,0,0,6,0,0,0,0,0,0.0,0.0,8,2,0,0,21,0,1,0,0.0,0.0
1100,021700036,3,0,0,0,0,0,0,0,0,0,2,0,17,1,0,0,119,1,1.0,0.0,7,0,0,0,2,0,12,0,0,0,1,0,0,0,0,0,2,0,0,0,0.0,0.0,6,1,1,0,49,0,0,0,0.0,0.0
1101,021700037,1,0,0,0,0,0,1,0,0,0,0,0,17,0,1,0,118,0,0.0,0.0,3,1,0,0,13,0,20,0,1,0,1,0,0,0,3,0,1,0,1,0,0.0,0.0,26,1,2,0,85,0,0,0,0.0,0.0
1102,021700038,6,0,1,0,3,0,1,0,0,0,0,0,9,1,0,0,140,0,0.0,0.0,4,0,0,0,12,0,13,0,1,0,2,0,0,0,6,0,0,0,1,0,0.0,0.0,22,0,1,0,40,0,0,0,1.0,0.0
1103,021700039,6,0,0,0,1,0,4,0,0,0,0,0,22,0,1,0,117,0,0.0,0.0,4,0,0,0,7,0,13,0,1,0,0,0,0,0,3,0,3,0,0,0,0.0,0.0,33,0,1,0,43,0,0,0,3.0,0.0
1104,021700040,1,0,0,0,0,0,0,0,1,0,0,0,20,2,1,1,7,2,0.0,0.0,0,2,0,1,67,8,0,0,0,0,0,0,0,0,183,34,0,1,0,0,0.0,0.0,4,3,0,0,1,1,0,0,0.0,0.0
1105,021700041,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,29,0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,21,0,0,0,34,0,0,0,0.0,0.0
1106,021700042,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0.0,0.0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,4,0,0,0,7,0,0,0,0.0,0.0
1107,021700043,1,0,1,0,1,0,0,0,1,0,0,0,6,0,1,0,42,4,0.0,1.0,3,1,1,1,39,1,3,1,0,0,0,0,0,0,22,1,0,0,0,0,1.0,0.0,42,1,0,0,44,3,0,0,0.0,0.0
1108,021700044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,29,1,0.0,0.0,3,0,1,0,31,0,11,0,0,0,0,0,1,0,217,0,0,0,0,0,0.0,0.0,11,0,0,0,11,2,1,0,1.0,0.0
1109,021700045,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0.0,0.0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,177,5,0,0,0,0,0.0,0.0,10,0,0,0,6,0,0,0,0.0,0.0
1110,021700046,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0.0,0.0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,239,5,1,0,0,0,1.0,0.0,5,0,0,0,0,0,0,0,0.0,0.0
1111,021700047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,0.0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,101,1,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0
1112,021700049,2,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,25,0,0.0,0.0,3,0,0,0,3,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,13,0,1,0,6,0,0,0,1.0,0.0
1113,021700051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,214,3,1,0,0,0,0.0,0.0,1,1,0,0,0,0,0,0,0.0,0.0
1114,021700052,0,0,1,0,0,0,0,0,1,0,1,0,5,0,1,0,7,1,1.0,0.0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,3,0,1,0,0,0,0.0,0.0,13,0,1,0,9,0,1,0,0.0,0.0
1115,021700053,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6,0,0,0,2,0,0,0,0.0,0.0
1116,021800001,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,22,2,0.0,0.0,2,0,0,0,3,0,1,0,0,0,0,0,2,0,111,7,2,0,1,0,1.0,0.0,4,2,0,0,1,1,0,0,1.0,0.0
1117,021800002,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,16,0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,287,0,1,0,0,0,0.0,0.0,7,0,0,0,7,0,0,0,2.0,0.0
1118,021800003,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,13,0,1.0,0.0,1,0,0,0,7,1,1,0,0,0,1,1,1,0,282,2,3,0,1,0,0.0,0.0,9,0,0,0,5,0,0,0,0.0,0.0
1119,021800004,0,0,1,0,0,0,0,0,0,0,0,0,18,0,1,0,14,3,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,304,6,5,0,0,0,1.0,0.0,4,0,0,0,0,0,0,0,0.0,0.0
1120,021800005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,150,1,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
1121,021800006,1,0,3,1,0,0,0,0,0,0,0,0,5,3,0,0,20,5,0.0,0.0,0,0,1,0,7,5,1,0,1,0,0,0,0,0,272,0,1,1,0,0,0.0,0.0,35,21,0,0,8,3,0,0,0.0,0.0
1122,021800007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,1,0,0,0,0.0,0.0,8,0,0,0,0,0,0,0,0.0,0.0
1123,021800008,0,0,1,0,0,0,1,0,0,0,0,0,63,0,0,0,3,0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,344,0,0,0,0,0,0.0,0.0,8,0,0,0,0,0,0,0,0.0,0.0
1124,021800009,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,5,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,146,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0
1125,021800010,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0
1126,021800011,0,0,0,0,2,0,11,0,0,0,0,0,3,0,0,0,45,6,0.0,0.0,5,0,0,0,27,0,3,1,0,0,2,0,0,0,233,16,0,0,1,0,0.0,0.0,12,0,0,0,15,0,0,0,0.0,0.0
1127,021800012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,4,0,0,0,0.0,0.0,3,0,0,0,0,0,0,0,0.0,0.0
1128,021800013,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,756,0,3,0,0,0,0.0,0.0,3,0,0,0,0,0,0,0,0.0,0.0
1129,021800015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,153,0,1,0,0,0,0.0,0.0,4,0,0,0,0,0,0,0,1.0,0.0
1130,021800016,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,11,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0
1131,021800017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,207,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0
1132,021800018,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,56,1,0.0,0.0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,214,2,3,0,1,0,0.0,0.0,29,0,0,0,44,3,0,0,0.0,0.0
1133,021800019,3,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,12,0,0.0,0.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,312,0,1,0,0,0,0.0,0.0,6,0,0,0,4,0,0,0,2.0,0.0
1134,021800020,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,23,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,106,0,1,0,0,0,1.0,0.0,7,0,0,0,12,1,0,0,0.0,0.0
1135,021800021,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0.0,0.0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,293,25,2,0,0,0,0.0,0.0,6,0,0,0,0,0,0,0,0.0,0.0
1136,021800022,0,1,2,0,0,0,0,0,0,0,0,0,2,0,3,0,13,0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,352,3,1,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0
1137,021800023,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,455,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
1138,021800024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,212,3,0,0,0,0,0.0,0.0,6,0,0,0,0,0,0,0,0.0,0.0
1139,021800025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0.0,0.0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,250,0,2,0,0,0,1.0,0.0,7,0,0,0,5,0,0,0,1.0,0.0
1140,021800026,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,221,0,0,0,0,0,0.0,0.0,14,0,0,0,0,0,0,0,0.0,0.0
1141,021800027,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,38,0,0.0,0.0,3,0,0,0,4,0,1,0,0,0,1,0,0,0,166,0,1,0,0,0,0.0,0.0,29,0,0,0,24,0,0,0,1.0,0.0
1142,021800028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0.0,0.0,4,0,0,0,15,0,4,0,0,0,0,0,0,0,138,3,1,0,0,0,0.0,0.0,22,1,0,0,27,0,4,0,1.0,0.0
1143,021800029,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,1.0,0.0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,457,0,0,0,0,0,0.0,0.0,7,0,0,0,1,0,0,0,1.0,0.0
1144,021800030,0,0,0,2,0,0,1,0,0,0,0,1,10,1,0,1,16,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,394,0,0,12,0,0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0
1145,021800031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,249,3,0,0,0,0,0.0,0.0,4,0,0,0,0,0,0,0,0.0,0.0
1146,021800032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0.0,0.0,6,0,0,0,0,0,0,0,0.0,0.0
1147,021800033,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,9,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,221,5,0,1,1,0,0.0,0.0,3,0,0,0,0,0,0,0,0.0,0.0
1148,021800034,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,1,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,201,4,0,0,0,0,0.0,0.0,9,0,0,0,0,0,0,0,0.0,0.0
1149,021800035,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,2,1,0,0,0,0.0,0.0,3,0,0,0,2,0,0,0,0.0,0.0
1150,021800036,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,223,0,1,0,1,0,0.0,0.0,21,0,0,0,0,0,0,0,0.0,0.0
1151,021800037,0,0,1,0,1,0,1,0,0,0,1,0,3,0,2,0,29,0,0.0,0.0,0,0,0,0,6,0,5,0,0,0,1,0,0,0,234,0,1,0,0,0,0.0,0.0,21,0,0,0,0,0,0,0,0.0,0.0
1152,021800038,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,1,0,0,0,0,0.0,0.0,13,0,0,0,0,0,0,0,0.0,0.0
1153,021800039,0,0,2,0,0,0,0,0,1,0,0,0,4,0,1,1,28,1,1.0,0.0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,566,6,2,0,0,0,0.0,0.0,3,0,0,0,0,0,0,0,2.0,0.0
1154,021800041,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,1.0,0.0,12,0,0,0,0,0,0,0,0.0,0.0
1155,021800042,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,6,1,0,0,0,0.0,0.0,2,0,0,0,1,0,0,0,0.0,0.0
1156,021800043,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,3,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,415,0,0,0,0,0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,0.0
1157,021800044,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,244,2,0,0,0,0,0.0,0.0,4,0,0,0,0,0,0,0,0.0,0.0
1158,021800045,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0.0,0.0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,299,0,1,0,0,0,0.0,0.0,8,0,0,0,0,0,0,0,0.0,0.0
1159,021800046,1,0,0,0,0,0,2,0,0,0,0,0,14,0,1,0,8,0,0.0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,359,0,0,0,0,0,0.0,0.0,4,0,0,0,1,0,0,0,0.0,0.0
1160,021800047,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,2,0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,300,0,0,0,0,0,0.0,0.0,3,0,0,0,1,0,0,0,0.0,0.0
1161,021800048,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,7,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,296,8,1,0,0,0,0.0,1.0,9,0,0,0,0,0,0,0,0.0,0.0
1162,021800049,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0
1163,021800051,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,38,0,0.0,0.0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,373,5,5,0,0,0,1.0,0.0,14,0,0,0,6,0,0,0,1.0,0.0
1164,021800052,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,286,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0
1165,022100001,6,0,1,0,1,0,0,0,0,0,0,0,32,0,1,0,118,1,1.0,0.0,4,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,44,0,2,0,60,2,4,0,0.0,0.0
1166,022100002,7,0,2,0,0,0,0,0,0,0,0,0,30,1,0,0,102,3,0.0,0.0,15,0,2,0,6,0,5,0,0,0,1,0,0,0,0,0,7,0,0,0,0.0,0.0,49,2,5,0,50,1,1,0,1.0,1.0
1167,022100003,8,0,0,0,3,0,0,0,2,0,0,0,33,0,2,0,189,2,1.0,0.0,13,0,1,0,13,0,7,0,1,0,0,0,0,0,0,0,3,0,0,0,1.0,0.0,58,1,1,0,110,0,6,0,3.0,0.0
1168,022100004,8,0,1,0,0,0,0,0,0,0,1,0,24,0,1,0,123,0,0.0,0.0,4,0,2,0,6,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,25,0,2,0,76,0,0,0,5.0,0.0
1169,022100005,5,0,1,0,1,0,0,0,1,0,0,0,20,0,2,0,214,0,1.0,0.0,9,0,2,0,9,0,12,0,0,0,3,0,0,0,1,0,1,0,0,0,0.0,0.0,45,0,1,0,126,0,0,0,0.0,0.0
1170,022100006,4,0,1,0,0,0,0,0,1,0,0,0,33,0,1,0,153,0,0.0,0.0,3,0,2,0,9,0,12,1,0,0,3,0,0,0,4,0,6,0,0,0,1.0,0.0,30,1,0,0,86,3,0,0,1.0,0.0
1171,022100008,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,32,1,0.0,0.0,5,0,0,0,19,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,12,0,0,0,8,0,0,0,0.0,0.0
1172,022100009,2,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,81,0,0.0,0.0,9,0,4,0,15,0,5,0,1,0,10,0,0,0,4,0,1,0,0,0,0.0,0.0,43,0,0,0,40,0,2,0,0.0,0.0
1173,022100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,31,1,0,0,10,0,0,0,0.0,0.0
1174,022100011,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,18,0,0.0,0.0,3,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,8,0,0,0,19,0,0,0,0.0,0.0
1175,022100012,0,1,0,0,0,0,0,0,1,0,1,0,5,0,0,0,72,6,0.0,0.0,4,1,5,0,26,3,2,0,1,0,0,0,0,1,9,0,0,0,0,0,0.0,0.0,58,4,0,0,28,4,1,0,0.0,2.0
1176,022100013,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,41,1,0.0,0.0,0,2,0,0,7,0,1,0,1,0,0,0,1,0,28,0,1,0,0,0,0.0,0.0,26,1,0,1,6,0,0,0,1.0,0.0
1177,022100015,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,61,1,2.0,0.0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,40,0,1,0,26,0,0,0,0.0,0.0
1178,022100016,0,0,3,0,0,0,0,0,1,0,0,0,12,0,0,0,74,1,0.0,0.0,7,0,1,0,12,0,8,0,0,0,0,0,0,0,100,1,0,0,0,0,0.0,0.0,37,2,0,0,30,0,0,0,1.0,0.0
1179,022100017,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,46,6,0.0,0.0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,15,6,0,0,7,2,0,0,0.0,0.0
1180,022100018,0,0,3,0,0,0,0,0,1,0,4,0,6,0,4,0,125,2,3.0,0.0,14,0,1,0,14,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2.0,0.0,41,0,2,0,37,2,2,0,1.0,0.0
1181,022100019,0,0,1,0,0,0,0,0,0,0,0,0,51,0,0,0,81,1,0.0,0.0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,52,4,0,1,0,0,0.0,0.0,43,0,0,0,22,0,0,0,0.0,0.0
1182,022100020,0,0,1,0,0,0,0,0,1,0,0,0,16,0,1,0,83,0,0.0,0.0,5,0,0,0,60,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.0,0.0,26,0,1,0,51,0,0,0,0.0,0.0
1183,022100021,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,79,6,0.0,0.0,0,0,0,0,10,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0.0,27,1,0,0,60,9,0,0,0.0,0.0
1184,022100022,3,0,2,0,3,0,1,0,4,0,0,0,27,0,2,0,198,0,0.0,0.0,14,0,1,1,13,0,8,0,1,0,7,1,0,0,0,0,4,0,1,0,0.0,0.0,55,0,2,0,123,0,1,0,1.0,0.0
1185,022100023,5,1,0,0,0,0,0,0,0,0,0,0,30,0,2,0,220,3,0.0,0.0,12,0,0,0,14,0,13,0,1,0,3,0,0,0,0,0,3,0,2,0,1.0,0.0,49,1,2,0,99,2,4,0,1.0,0.0
1186,022300001,1,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,73,4,1.0,0.0,8,0,2,1,39,1,16,0,0,0,0,0,0,0,85,2,1,0,1,0,0.0,0.0,42,1,1,0,39,0,0,0,1.0,0.0
1187,022300002,5,0,1,0,0,0,0,0,0,0,1,0,10,0,1,0,78,1,0.0,0.0,10,0,1,0,45,1,15,0,2,0,1,0,0,0,30,0,0,0,2,0,1.0,0.0,32,0,1,0,42,0,0,0,1.0,0.0
1188,022300003,1,0,1,0,0,0,0,0,1,0,0,0,10,0,1,0,77,1,1.0,0.0,38,1,1,0,49,0,13,0,0,0,0,0,0,0,9,0,1,0,1,0,0.0,0.0,49,1,1,0,41,0,1,0,0.0,0.0
1189,022300004,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,29,1,0.0,0.0,6,2,0,0,35,11,4,0,1,1,0,1,5,1,256,69,0,0,0,0,1.0,0.0,13,2,2,1,11,0,0,1,2.0,0.0
1190,022300005,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0.0,0.0,3,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,8,0,0,0,0,0,0,0,0.0,0.0
